Brand,Product Name,SKU,Product Price,Product Description
Columbia,Columbia Reservoir Piston Part HH22,HH22,28.6,Columbia Reservoir Piston Part HH22 for COL88
Columbia,Columbia Return Spring Post Angle Head AH11,AH11,4.03,Columbia Return Spring Post Angle Head
Columbia,Columbia Road Case,RC,1020.16,"Columbia Road Case The highly requested Columbia Road Case has an extremely durable design to protect your tools on the job. Built to take the abuses of travel, and wear and tear from job sites, the Road Case comes equipped with rubber feet, rolling wheel"
Columbia,Columbia Road Case,RC,1020.99,"Columbia Road Case Inspired from musicians and roadies of old, the durable Columbia Road Case protects your tools on any job. The locking latches keep the case secure and rubber feet on the case bottom protect the floor surface. Built for travel and wear, the Road Case comes equipped with wheels and an ergonomic handle that allows the user to easily transport a Full Columbia Taping Set. Stay organized and protect your investment with the durable Road Case by Columbia. Features Fits Columbia Full Set Thick Durable Wheels Heavy Duty Locking Latches Light And Durable Fits Standard Size Flat Boxes 17"" x 9"" x 57"""
Columbia,Columbia Roller for Corner Cobra,CC5,6.7,Columbia Roller for Corner Cobra
Columbia,Columbia Roller for Corner Cobra - CC5,CC5,4.59,CC5 - Columbia Roller for Corner Cobra Columbia Roller for Corner Cobra
Columbia,Columbia Roller Wheel CR2,CR2,20.64,Columbia Corner Roller Wheel Part#CR2 - 2pc
Columbia,Columbia Sabre Claw Adapter,SBC,29.99,"Columbia Sabre Claw Adapter SBC The Columbia Sabre Claw Adapter is engineered to connect Sabre Smoothing Blades securely to the Sabre Extension Pole, providing enhanced reach and control for drywall finishing. This durable adapter ensures a reliable fit, allowing finishers to work seamlessly across walls and ceilings with consistent pressure. Crafted with strength and precision, the Sabre Claw Adapter helps achieve smooth, professional results while maintaining ease of use. Its quick-attach design allows for fast setup, making it an essential accessory for maximizing the performance of Sabre Smoothing Blades. Features: Designed specifically for Sabre Smoothing Blades Connects blades to the Sabre Extension Pole for added reach Durable construction for long-lasting performance Ensures secure, stable attachment Quick-attach system for fast and easy setup Ideal for professional drywall finishing applications"
Columbia,Columbia Sabre Pole,SBP,82.99,"Columbia Sabre Extension Pole SBP The Sabre Extension Pole is designed to maximize the performance of Sabre Smoothing Blades when paired with the Sabre Claw Adapter. Built for durability and ease of use, this extension pole provides added reach and control, allowing for smooth, consistent finishes across walls and ceilings without strain. Its lightweight, ergonomic design minimizes fatigue while ensuring precise blade movement. Whether working on large-scale projects or hard-to-reach areas, the Sabre Extension Pole helps achieve professional results with efficiency and comfort. Features: Designed for use with the Sabre Claw Adapter (SBC) Extends the reach of Sabre Smoothing Blades for high or wide surfaces Lightweight and ergonomic construction for reduced fatigue Provides consistent, even pressure for smooth finishes Built tough for professional drywall finishing applications"
Columbia,Columbia Sabre Smoothing Blade Set,SBSET,523.99,"Columbia Sabre Set SBSET Columbia designed the Sabre Smoothing Blades as a lighter, more affordable alternative to the premium Tomahawk Smoothing Blades. While the Tomahawk remains the top-tier option, the Sabre provides a cost-effective solution without sacrificing quality. The body profile is identical to the Tomahawk but constructed from high-quality plastic instead of billet aluminum. One of the most notable advantages of the Sabre Smoothing Blades is their weight—approximately 60% lighter than the Tomahawk—making them easier to handle and control. They are also about 40% more affordable, offering excellent value without compromise. Features: Compatible for hand use or with the Sabre Claw Adapter (SBC) for the Sabre Pole (SBP) each sold separately Hardened stainless steel blade for durability and abrasion resistance Rounded anti-trace edges to reduce marks and imperfections High-performance Bi-Flex technology with PVC plate for superior flexibility and control Includes: Sabre Case 10'' Sabre 16"" Sabre 24"" Sabre 32"" Sabre Sabre Claw Adaptor Sabre Pole"
Columbia,Columbia Sander with Twist-Loc Handle,CS/TL3-8,105.0,"Columbia Sander with Twist-Loc Handle The Columbia Pole Sander provides industry preferred functionality. Featuring an anodized aluminum telescopic pole with a unique and handy ""twist lock"" design, that extends from 3' to 8'. Features Include: Low gravity center to prevent flipping Quick clamps for easy paper removal Works with paint handle thread for maximum choice Billet machined for stability and durability"
Columbia,Columbia Semi Auto Drywall Taping Tool,SAT,243.99,"Quick and Easy Drywall Taping Solution from ColumbiaTools Built for the serious drywall worker or the first time taper, the Semi Auto Taper is an alternative to messy and breakable automatic tapers. If you need to get taping done quickly, easily and cheaply, the Semi Auto Taper is your answer. The Semi Auto Taper increases your efficiency by allowing multiple workers to tape simultaneously. Sets Up in Seconds! The Columbia Semi Auto simplifies the traditional taping process and requires no additional machinery or pumps. The Semi Auto Taper attaches to any 5-gallon bucket and once the tape is threaded through, as you pull the tape it will apply mud to one side. The only adjustment needed is your preferred amount of mud to be applied. Professional contractors will find The Semi Auto Taper the perfect taping tool when their automatic taper wont fit such as closets and bathrooms or up high on scaffolding. The Semi Auto Taper is constructed of lightweight aluminum and has no wearable parts for long-lasting use. In addition to being perfect for standard taping jobs, the Super Taper is a must for fire taping with heavy-duty portability. Features: Lightweight and easy to handle anywhere on the jobsite, perfect for small rooms Portable size fits on any 5-gallon bucket, requires no extra equipment Simple heavy duty aluminum construction without wearable parts to eliminate downtime Can be used by multiple people at once to speed up the job Takes no training, even beginners can tape right away!"
Columbia,Columbia Semi Auto Taper Drywall Taping Tool,SAT,243.34,"Browse top drywall taping tools from Columbia. The Columbia Semi Auto Taper Drywall Taping Tool or ""Bucket Taper"" is a great option. Shop online today!"
Columbia,Columbia Semi-Auto Taping Tool Kit,COLSEMI,1175.0,"The Columbia Semi-Auto Taping Tool Kit can significantly increase your taping and finishing production capabilities when compared to hand taping. Semi-Auto taping tools greatly increase efficiency and consistency compared to hand taping and decrease waste, resulting in reduced material use. The corner and flat compound applicators can be attached to the Columbia Compound Tube, allowing drywall mud compound to be easily and evenly applied to flat seams and corner angles. The corner roller is then used to bed tape squarely and securely into inside drywall angles. The final touch is using the corner flusher to apply an equal, feathered finish to inside corners. The entire kit fits in the included convenient, custom-crafted tool carrying case, for easy transportation, storage and protection of your tools. Features: Increase your efficiency on the job compared to working with hand tools and waste less material. The included compound tube allows you to evenly apply compound where you need it. Includes all the tools needed for each step of the taping process in one handy kit. The included case gives your tools the protection they need and make it easier to transport to the job. Columbia Semi-Auto Taping Tool Kit With Case Contains: 1-Columbia Compound Mud Tube 42"" CMT42 1-Columbia 2.5"" Standard Flusher 1-Columbia 3"" Standard Flusher 1-Columbia Reach Extendable Angle Head Handle 3' - 5' 1-Columbia Corner Roller Head 1-Columbia Corner Roller Handle 1-Columbia Flat Applicator Head CFLT 1-Inside 90 Applicator with Wheels ICATW 1-Black Tool Case (Interior Dimensions 52"" x 13""(center) 12"" (ends)"
Columbia,Columbia Semi-Auto Taping Tool Kit 2,COLSEMI 2,970.0,"Columbia Semi-Auto Taping Tool Kit 2 Can significantly increase your taping and finishing production capabilities when compared to hand taping. Semi-Auto taping tools greatly increase efficiency and consistency compared to hand taping and decrease waste, resulting in reduced material use. The corner and flat compound applicators can be attached to the Columbia Compound Tube, allowing drywall mud compound to be easily and evenly applied to flat seams and corner angles. The corner flusher can apply an equal, feathered finish to inside corners. The entire kit fits in one convenient, custom-crafted tool carrying case, for easy transportation, storage and protection of your tools. Features: Increase your efficiency on the job. Compound tube allows you to evenly apply compound. Kit Includes every tool needed for each step of the taping process. Case provides protection and easier transport. Kit Includes: 1 - Columbia Compound Mud Tube 42"" CMT42 1 - Columbia 2.5"" Combo Flusher 1 - Columbia 3"" Standard Flusher 1 - All-Wall X49 Extendable Angle Head Handle 1 - Columbia Flat Applicator Head CFLT 1 - Inside 90 Applicator with Wheels ICATW 1 - Black Tool Case (Interior Dimensions 52"" x 13""(center) 12"" (ends)"
Columbia,Columbia Semi-Automatic Starter Set,COLSEMI,2030,"Columbia Semi-Automatic Starter Set If you want your job to look like a pro did it, even though you did it yourself, try out the Columbia Starter Set. This set is aimed at the occasional taper/finisher."
Columbia,Columbia Semi-Automatic Tool Case,TCS,210.99,"Columbia Semi-Automatic Tool Case Lightweight yet extremely durable, Columbia’s Semi-Automatic Case is designed to hold a complete set of semi-automatic tools. The egg-shell foam interior keeps tools securely in place when the case is latched shut. It also serves as convenient storage for Columbia Tomahawk Smoothing Blades (up to 40″). Not intended for use with automatic tools. Features: Fits a Full Set of Semi Automatic Tools Eggshell Foam for Support 4 Lock Latches Piano-Style and Brass Hinges for Storage Safety When Locked Measurements: 53.4″ x 16.5″ x 4.5″ Interior Dimensions- 52"" x 13"" (center) 12"" (ends) Exterior Dimensions- 53"" x 16"" (center) 13"" (ends) Not Designed to Hold Automatic Tapers Made in North America"
Columbia,"Columbia Short Matrix Flat Box Handle 29""-39""",MHS,340.67,"Columbia Short Matrix Handle 29""-39"" This new Matrix Handle from Columbia is lightweight and all mechanical. With a 90 degree grip, the Matrix handles give you increased control over your box. These handles are durable and extremely long-lasting, all whil"
Columbia,Columbia Shrink Fit Grip Putty Knives,SF5,5.82,Columbia Shrink Fit Grip Putty Knives
Columbia,Columbia Spring Housing Angle Head,AH1A,12.18,
Columbia,Columbia Tactical Set,TS,5746.99,"The Columbia Tactical Set offers you everything you will need to finish an entire house. No more confusion, guess work or wondering what tools to buy... Its truly Everything you need, in One Case , and *Bonus, The rugged Columbia Road Case is included at no extra charge! Tactical Set Includes: Automatic Taper 10” Flat Box 12” Flat Box Corner Roller 3” Angle Head 8"" ThrottleBox Angle Box Head 3"" Nail Spotter Loading Pump Gooseneck Flat Box Filler Angle Head Adapter Tomalock Adapter 7” Tomahawk Smoothing Blade 24” Tomahawk Smoothing Blade Sander Head Columbia One Handle Columbia One Handle 3'-5' Matrix Handle Twist Lock Handle FREE Road Case Repair Kits: Anglehead Maintenance Kit AH-RK Box Blade Maintenance Kit FFBR9-10 Box Blade Maintenance Kit FFBR9-12 Box Shoe Maintenance Kit FFBR7-7A Taper Maintenance Kit CTR-1"
Columbia,Columbia Tactical Set with Predator Upgrade,PTS,5962.62,Columbia Predator Tactical Set The NEW Predator Tactical Set makes transitioning to Automatic Taping Tools quick and includes upgrading the Columbia Predator Carbon Fiber Automatic Taper! Every taping tool you need to finish a house comes packaged inside
Columbia,Columbia Tall Boy Box Filler,TBBF,75.99,Columbia Tall Boy Box Filler
Columbia,Columbia Tall Boy Gooseneck,TBGN,146,The Columbia Tall Boy Gooseneck works with the Columbia Tall Boy Pump and the TapeTech Extra Long Pump's. It is used to fill the automatic taper. Buy today!
Columbia,Columbia Tall Boy Gooseneck,TBGN,146.0,For use exclusively with the Tall Boy pump to fill automatic tapers from large mud containers
Columbia,Columbia Tall Boy Loading Pump,TBMP,492.08,Do you need a new loading pump. The Columbia Tall Boy Loading Pump is one of the best options on the market. Shop from Al's Taping Tools today!
Columbia,Columbia Tall Boy Loading Pump,TBMP,492.99,"The Columbia Tall Boy Pump is a BIG step up from a standard sized drywall mud pump. Size really does matter - This taller pump allows you to stand comfortably upright while you fill your tools. Stand Tall - When filling the automatic taper you can see the piston, and you no longer need to use your fingers to indicate that the tool is full. Bigger is Better - You can use the Columbia Tall Boy Pump on 30 gallon containers of compound. Save mix time and improve productivity! The Tall Boy is also suited for use with standard 5 gallon buckets - Adjusts for both US and Canadian pail sizes Tall Boy features a quick release tube, handle pin, and foot valve for easy clean-up. The pump is constructed with a billet handle link and adjustable pump leg that are ultra-strong and durable. The pump adapter flange fits all major brands of box filler*, and requires the Tall Boy Gooseneck* for filling tapers. Columbia Tall Boy Pump Features: Fill your tools standing up - no more bending over Pump from larger 30 gallon containers - Save time and improve productivity No more fingers down the taper tube - You can see the piston during fill-up Adjusts for a variety of bucket and container sizes. Fits standard US and Canadian mud buckets as well Detachable tube, handle and foot valve makes clean-up easy High quality Columbia construction with 5 year warranty. Made in Canada *Sold Separately"
Columbia,Columbia Taper Cutter Block Assembly,CTA-41,115.76,Columbia Taper Cutter Block Assembly Columbia Taper Cutter Block Assembly
Columbia,Columbia Taper Dog Base Bracket,CT13,14.46,Columbia Taper Dog Base Bracket Part #CT13
Columbia,Columbia Taper Maintenance Kit,CTR-1,24.99,Columbia Taper Maintenance Kit Keep your Columbia Automatic Taper up and running with the Taper Maintenance Kit.
Columbia,Columbia Taper Rebuild Kit,COL502A,99.99,2 - Insert Bushing 1 - Right Insert Bushing 1 - Left Insert Bushing 1 - Right Wafer Bushing 1 - Ratchet Rod 1 - Brake Roller 2 - Ratchet Gear 2 - Nylatron Washer 2 - Nylon Bushing 1 - Clutch Return Spring
Columbia,Columbia Taper Toe Kicker CT53,CT53,26.38,Columbia Taper Toe Kicker CT53
Columbia,"Columbia Taping Tools 2"" Hinged Nail Spotter Head Only",2NS,297.99,"Columbia Taping Tools 2"" Nail Spotter Head Has been updated and redesigned for greater usability and durability! Hinged door design is easy to push with or without springs. Integrated thumb latch for door release makes clean-up a breeze. All-new gasket resists solvent based lubricants, and integrated tension screw makes adjustments a snap. Skid Plates & Wheels The Columbia Nail Spotter design uses a traditional skid plate, but optional wheels are integrated and available. Skid plates offer a greater amount of protection against screw and nail clickers. Wheels track smoother along the wall, and generally add a higher level of control. Regardless of your skid plate preference, the Columbia Spotters have your nail spots covered! Stop Floppin' One of the weak points on traditional nail spotters was the handle pivot joint. Older designs required turning a nut with a wrench to get the correct tension on the nail box. Most of the time the tension would quickly change, and the nail box would flop around - It's frustrating and inefficient. Columbia has eliminated the frustration with a simple Thumb Screw Adjustment on the pivot point. No tools are required, and a bushing inside the pivot helps to keep the correct tension on the nail box. Columbia 2"" Nail Spotter Head Features: Tough Aluminum Construction is Light and Durable Tougher Door Gasket the won't swell! Use any Lubricant! Hinged Door Runs smoothly with or without Door Spring Easy Adjustable Handle Tension Screw Eliminates Box Flop Run with Skid Plate to Protect Against Clickers or Wheels for More Control Head only. Accessory handles available."
Columbia,"Columbia Taping Tools 2"" Nail Spotter",2NS,297.41,"Columbia Taping Tools 2"" Nail Spotter is an excellent choice for finishing nail and screw holes. It simultaneously fills and feathers the holes. Shop Al's today!"
Columbia,"Columbia Taping Tools 2.5"" Direct Drywall Corner Flusher",2.5DF,127.62,"Columbia Taping Tools 2.5"" Direct Drywall Corner Flusher with Wheels have redefined angle finishing. They are built from the best materials. Shop Al's today!"
Columbia,"Columbia Taping Tools 2.5"" Standard Drywall Corner Flusher with Wheels",2.5SF,116.8,"Columbia 2.5"" Standard Corner Flushers have redefined angle finishing. Columbia makes some of the best taping products on the market. Buy from Al's today!"
Columbia,"Columbia Taping Tools 3"" Direct Drywall Corner Flusher",3DF,133.02,"Columbia Taping Tools 3"" Direct Drywall Corner Flusher with Wheels have redefined angle finishing. They are built from the best materials. Shop today!"
Columbia,"Columbia Taping Tools 3"" Hinged Nail Spotter",3NS,308.23,"Columbia Taping Tools 3"" Nail Spotter is an excellent choice for finishing nail and screw holes. It simultaneously fills and feathers the holes. Buy from Al's!"
Columbia,"Columbia Taping Tools 3"" Hinged Nail Spotter Head Only",3NS,308.99,"Columbia Taping Tools Nail Spotters have been updated and redesigned for greater usability and durability! Hinged door design is easy to push with or without springs. Integrated thumb latch for door release makes clean-up a breeze. All-new gasket resists solvent based lubricants, and integrated tension screw makes adjustments a snap. Lighter Weight Design Tougher Door Gasket Extra Thick Aluminum Side Plates Hinged Door Runs with or without Spring Easy Adjustable Handle Tension Screw *NEW SKID PLATE MODEL"
Columbia,"Columbia Taping Tools 3"" Standard Drywall Corner Flusher with Wheels",3SF,122.21,"Columbia Taping Tools 3"" Standard Drywall Corner Flusher with Wheels are built from the best materials. Shop top Columbia taping products from Al's Taping Tools!"
Columbia,"Columbia Taping Tools 3"" Widetrack Direct Drywall Corner Flusher",3WTDF,115,"Columbia Taping Tools 3"" Widetrack Direct Drywall Corner Flusher with Wheels have redefined angle finishing. Shop from Al's Taping Tools Today!"
Columbia,"Columbia Taping Tools 3.5"" Direct Drywall Corner Flusher with Wheels",3.5DF,146,"Columbia 3.5"" Direct Corner Flushers have redefined angle finishing. They are each hand ground and checked on a granite plates. Buy Columbia tools from Al's!"
Columbia,"Columbia Taping Tools 3.5"" Standard Drywall Corner Flusher with Wheels",3.5SF,133.02,"Columbia Taping Tools 3.5"" Standard Drywall Corner Flusher with Wheels is built from the best materials. Buy Columbia tools from Al's Taping Tools!"
Columbia,"Columbia Taping Tools 4"" Standard Drywall Corner Flusher with Wheels",4SF,140.6,"Columbia 4"" Standard Corner Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand-ground and checked on a granite plate for perfection."
Columbia,Columbia Taping Tools Complete Pro Set,CT-PRO,5044.99,Columbia Complete Pro Set For the professional that wants to get their jobs done fast without sacrificing quality. This set of Columbia Tools is all you will need to get your drywall taping jobs finished at the most efficient rate possible.
Columbia,Columbia Taping Tools Corner Roller with Extendable Handle,COL15EX1,221.75,"Columbia Drywall Taping Tools Corner Roller with Handle One of the best corner rollers on the market. The Columbia Tools Split Steel/Delrin wheels provide for light weight, and the smoothest roll anywhere. The wheels never cake up and freeze, and allow flawless operation even with hard pressure. The All-Wall X1/Rankee anodized aluminum telescopic pole has a unique and handy ""twist lock"" design that extends from 3' to 8' feet with a simple twist of the wrist! The extension pole can also be used for pole sanders, and as a angle head handle with optional adapters. Columbia's Split Wheels Make a Better Roller, Here's How: Reduced Drag Paper Stays Straight Even with Hard Pressure (No Snaking) Light Weight Tool Keeps Arms & Shoulders Healthy Less Steel, Less Wear Parts, Lower Maintenace Costs"
Columbia,Columbia Taping Tools Corner Roller with Extendable Handle,GCR & R-0001,190,"Columbia Taping Tools Corner Roller with Extendable Handle Columbia Drywall Taping Tools Corner Roller is a smooth running roller. The wheels are the split and made of Stainless Steel and Delrin. This design makes them lighter, easier to clean and reduces"
Columbia,Columbia Taping Tools Standard Outside 90 Corner Bead Roller,COBCR,86.52,Columbia Taping Tools Standard Outside 90 Corner Bead Roller is the newest model of the outside corner roller from Columbia Taping Tools. Shop online today!
Columbia,Columbia Taping Tools Starter Drywall Finishing Set,70108,2349,The Columbia Starter Drywall Finishing set has all of the tools you need to perform a 2 coat finish on both flats and inside corners. Shop Al's Taping Tools!
Columbia,Columbia Taping Tools Superwide Outside 90 Corner Bead Roller,COBCRW,86.52,Columbia Taping Tools Superwide Outside 90 Corner Bead Roller is the newest model of the outside corner roller from Columbia Taping Tools. Shop online today!
Columbia,Columbia Tomahawk Smoothing Blade Extendable Handle,GC1HEXT/CLTHA,198,The Columbia Tomahawk Smoothing Blade Extendable Handle will allow you to reach new heights while using your Tomahawk Smoothing Blades.
Columbia,Columbia Tomahawk Smoothing Blade Fixed Handle,C1H/CLTHA,130,Columbia Tomahawk Smoothing Blade Fixed Handle The Columbia Tomahawk Smoothing Blade Handle will allow you to reach new heights while using your Tomahawk Smoothing Blades.
Columbia,Columbia Tomahawk Smoothing Blade Handle,C1H/CLTHA,147.0,"Columbia Tomahawk Smoothing Blade Handle Machined in Columbia's ‘State of the Art’ North American Factory, the Tomalock, features a Cam Lock system, that locks the smoothing blade into position as you work. Unlike traditional flat box handles, the ‘Tomalock’ head allows the user to set an angle in place without the need to hold down a handle brake. Features: Easy Lock and Unlock Cam Lock System. Light weight and durable Billet Aluminum. Machined in North America."
Columbia,Columbia Tomahawk Warrior Set,TWS,780.48,"Columbia Tomahawk Warrior Set The New Columbia Warrior Set takes the guesswork out of starting off with Smoothing Blades. This set contains a variety of sizes that will help you complete most every smoothing blade job. From wiping down tapes, to fully coa"
Columbia,Columbia Tomalock Adaptor,CLTHA,86.99,"Columbia Tomalock Adaptor CLTHA Convert your Columbia ONE handle into a Columbia Tomahawk Smoothing Blade Handle, with Columbia Tomalock Adaptor. Machined in Columbia's ""State of the Art"" North American Factory, the Tomalock, features a Cam Lock system, that locks the smoothing blade into position as you work. Unlike traditional flat box handles, the Tomalock allows the user to set an angle in place without the need to hold down a handle break. Features: Fits With Columbia ONE Handle Easy Lock And Unlock Cam Lock System Light Weight Durable Billet Aluminum Machined In North America"
Columbia,Columbia Tools Drywall Outside Corner Bead Mud Applicator,OA90,91.93,Al's Taping Tools has the best Columbia products on the market. The Columbia Tools Drywall Outside Corner Bead Mud Applicator will give you a consistent mud distribution. Shop today!
Columbia,Columbia Tools Drywall Outside Corner Bead Mud Applicator,OA90,91.99,"Columbia Outside Drywall Corner Bead Mud Applicator Head Used for applying compound to corners prior to installation of tape-on corner bead. Columbia mud heads are machined out of high-tech delrin plastic for a smooth and easy glide. Lay a perfect bead of mud for both Outside 90 Degree, and Bullnose Corner Bead. Locking spring clip is included to keep the head from falling off of the applicator tube or box. Additional ball is included to operate with all Columbia Mud Tubes. Compatible with all major brand angle boxes, Mudrunner, TapeTech Mud Tubes, and Columbia Mud Tubes Applies compound evenly, and directly to the wallboard. Works for installing 90 degree and Bullnose bead Eliminates the need for a large space to run a hopper. Can be used with angle boxes, or with applicator tubes. Made from polyethylene material that is lightweight and durable. Locking clip keeps the head attached to angle boxes and tubes"
Columbia,Columbia Tools Wide Outside Bead Roller,COBCRW,87.0,Columbia Tools Wide Outside Bead Roller
Columbia,Columbia Twist Lock Extendable Handle,TL3-8,75.99,"Columbia Twist Lock Extendable Handle Featuring an anodized aluminum telescopic pole with a unique and handy ""twist lock"" design, that extends from 3' to 8'."
Columbia,Columbia Universal Thread Adapter,UTA,9.98,Columbia Universal Thread Adapter
Columbia,Columbia Upper Mounting Bracket for COL88,HH2,77.48,
Columbia,Columbia Wheel for Corner Flusher,CF-3B,2.16,Columbia Wheel for Corner Flusher
Columbia,Columbia Wheel for Corner Flusher,CF3B,2.7,
Columbia,Corner Roller Handle Mounting Swivel - CR6,CR6,14.74,CR6 - Corner Roller Handle Mounting Swivel CR6 Columbia Corner Roller Handle Mounting Swivel #5565
Columbia,CR1 Columbia Corner Roller Head Casting #5561,CR1,58.5,
Columbia,CR11 Columbia Corner Roller Handle Connecting Link #5567,CR11,30.1,
Columbia,CR12 Columbia Corner Roller Swivel Coupling Pin #5568,CR12,5.38,"Note: Part # COLCR12 is the new style pin used on rollers produced since Summer 2005. For older rollers with a split pin, use part # FA289"
Columbia,CR3 Columbia Corner Roller Bearing Sleeve #5563,CR3,9.45,
Columbia,CR4 Columbia Corner Roller Washer #5564,CR4,5.4,COLCR04 Columbia Corner Roller Washer
Columbia,CR6 Columbia Corner Roller Handle Mounting Swivel #5565,CR6,17.68,
Columbia,CT1 Columbia Taper Head Casting #5570,CT1,180.74,
Columbia,CT10 Columbia Taper Crimping Arm Bushing Right #5583,CT10,6.85,
Columbia,CT101 Columbia Taper Return Spring #5961,CT101,4.15,
Columbia,CT102 Columbia Taper Machined Screw #5962,CT102,7.5,
Columbia,CT103 Columbia Taper Barrel Main Body #5963,CT103,150.64,
Columbia,CT105 Columbia Taper Crimper Lever #5965,CT105,34.62,
Columbia,CT106 Columbia Taper Bearing Shaft #5966,CT106,11.72,
Columbia,CT107 Columbia Taper Piston Body #5967,CT107,30.1,
Columbia,CT10A Columbia Taper Crimping Arm Bushing Left #5584,CT10A,7.08,
Columbia,CT11 Columbia Taper Mud Guard Plate #5585,CT11,10.24,
Columbia,CT111 Columbia Taper Piston Cup #5969,CT111,18.08,CT111 - Piston Cup CMT7 - Mastic Tube Plunger x 2
Columbia,CT112 Columbia Taper Connecting Stud #5970,CT112,12.64,
Columbia,CT113 Columbia Taper Lock Block #5971,CT113,4.58,
Columbia,CT114 Columbia Taper Cable Retaining Nut #5972,CT109,6.4,
Columbia,CT115 Columbia Taper Guard Ring #5973,CT115,22.6,
Columbia,CT115A Columbia Taper Gasket New Style End Ring #12268,CT115A,2.8,Columbia New Style Gasket for Automatic Taper End Guard Ring #5973. Columbia part # CT115A
Columbia,CT116 Columbia Taper Strap #5974,CT116,21.94,CT116 Columbia Taper Strap #5974
Columbia,CT116A Columbia Taper Strap #5975,CT116A,21.94,Columbia Replacement Strap for Automatic Tapers
Columbia,CT118 Columbia Taper Retaining Spring Clip #5977,CT118,8.23,
Columbia,CT12 Columbia Taper Tape Advance Release Bracket #5586,CT12,10.05,
Columbia,CT125 Columbia Taper Roller #5985,CT125,4.7,
Columbia,CT125A Columbia Taper Bearing #5986,CT125A,4.58,CT125A Columbia Taper Bearing #5986
Columbia,CT127 Columbia Taper Extension Shaft Bracket #5988,CT127,36.56,
Columbia,CT128 Columbia Taper Shaft Guide Strap #5989,CT128,29.24,
Columbia,CT129 Columbia Taper Shaft Guide Roller Bushing #5990,CT129,4.1,
Columbia,CT129A - Taper Strap Bracket,50232-A,6.73,CT129A - Taper Strap Bracket CT129A Columbia Taper Strap Bracket #5991
Columbia,CT129A Columbia Taper Strap Bracket #5991,CT129A,6.4,
Columbia,CT129B Columbia Taper Sleeve (Plastic Roller) #5992,CT129B,7.53,
Columbia,CT130 - Taper Extension Shaft,CT-130,21.94,CT130 - Taper Extension Shaft
Columbia,CT130 Columbia Taper Extension Shaft #5993,CT130,27.14,
Columbia,CT132 - Taper Connecting Link,709043-A,1.49,CT132 - Taper Connecting Link CT132 Columbia Taper Connecting Link #5994
Columbia,CT14 Columbia Taper Adjustable Brake Holder #5588,CT14,8.98,
Columbia,CT14A - Taper Adjustable Brake,ct14A,7.18,CT14A - Taper Adjustable Brake
Columbia,CT14A Columbia Taper Adjustable Brake #5589,CT14A,8.73,
Columbia,CT167 Columbia Taper #4 Flat Washer #5996,CT167,0.48,
Columbia,CT17 Columbia Taper Separation Plate #5593,CT17,20.44,
Columbia,CT170 Columbia Taper 8-32 X 3/4in Pan Head Screw #5997,CT170,0.6,
Columbia,CT173 Columbia Taper 10-24 X 5/8in Flat Head Screw #5998,CT173,0.84,
Columbia,CT19 Columbia Taper Paper Feed Guide #5594,CT19,40.7,
Columbia,CT2 Columbia Taper Insert Bushing #5571,CT2,5.65,
Columbia,CT20 - Taper Hinge Block,CT20,9.77,CT20 - Taper Hinge Block
Columbia,CT20 Columbia Taper Hinge Block #5595,CT20,11.72,
Columbia,CT22 Columbia Taper Brass Bracket #5596,CT22,23.4,
Columbia,CT23 - Taper Reinforcing Rod,050152F-A,18.49,CT23 - Taper Reinforcing Rod
Columbia,CT23 Columbia Taper Reinforcing Rod #5597,CT23,10.98,
Columbia,CT25 Columbia Taper Knife Guide Square Tube #5598,CT25,49.68,
Columbia,CT26 Columbia Taper Knife Guide Bracket Right #5599,CT26,18.82,
Columbia,CT27 Columbia Taper Knife Guide Bracket Left #5600,CT27,15.06,
Columbia,CT28 - Taper Roller Bushing,CT-28,3.65,CT28 - Taper Roller Bushing
Columbia,CT28 Columbia Taper Roller Bushing #5601,CT28,5.65,
Columbia,CT29 Columbia Taper Nylatron Chain Roller #5602,CT29,4.7,
Columbia,CT29A Columbia Taper Nylatron Chain Roller (Left) #5603,CT29A,4.7,
Columbia,CT3 Columbia Taper Right Insert Bushing #5572,CT3,13.56,
Columbia,CT31 Columbia Taper Chain Tension & Guide Bracke #5604,CT31,8.23,
Columbia,CT32 Columbia Taper Carriage Cam,CT32,11.01,CT32 Columbia Taper Carriage Cam
Columbia,CT33 Columbia Taper Side Plate Shim #5606,CT33,1.5,
Columbia,CT34 Columbia Taper Cover Plate Attachment Block #5607,CT34,8.48,
Columbia,CT35 Columbia Taper Cap Reinforcing Tab #5608,CT35,4.58,
Columbia,CT36 Columbia Taper Return Spring Tube #5609,CT36,39.16,
Columbia,CT37 Columbia Taper Tube Holding Bracket Upper #5610,CT37,29.24,
Columbia,CT38 Columbia Taper Tube Holding Bracket Lower #5611,CT38,24.86,
Columbia,CT39 Columbia Taper Knife Return Spring #5612,CT39,11.04,
Columbia,CT3A Columbia Taper Left Insert Bushing #5573,CT3A,13.56,
Columbia,CT4 Columbia Taper Left Wafer Bushing #5574,CT4,1.88,
Columbia,CT41 Columbia Taper Cutter Block #5614,CT41,2.35,
Columbia,CT41A Columbia Taper Cutter Block Clamp #5615,CT41A,8.73,
Columbia,CT43 Columbia Taper Micro Chain #5618,CT43,37.66,Micro Chain Cutter Chain (1 side) Columbia Automatic Taper. Full cutter chain requires (2) Micro Chains Columbia/Marshalltown- part #CT43
