Identity Key,Canonical Brand,Canonical Identifier,Retailer Pair,Missing Retailer,Lower-Priced Retailer,Lower Price,Higher-Priced Retailer,Higher Price,Absolute Spread,Spread % vs Lowest,Absolute Spread Bucket,Relative Spread Bucket,Uses Approved Identifier Alias,All-Wall Price,All-Wall Evidence Quality,All-Wall Product Name,All-Wall Strict Identifiers,Al's Taping Tools Price,Al's Taping Tools Evidence Quality,Al's Taping Tools Product Name,Al's Taping Tools Strict Identifiers,Wall Tools Price,Wall Tools Evidence Quality,Wall Tools Product Name,Wall Tools Strict Identifiers
columbia::mp13,Columbia Tools,mp13,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,7.77,All-Wall,10.98,3.21,41.31,1.01-5.00,>25%,no,10.98,single_observation,MP13 Columbia Mud Pump Piston Backing Washer (Large) #6173,mp13,,,,,7.77,single_observation,Columbia Piston Cup Backing Washer (a.k.a. Large Retainer) (COLM-MP13),mp13
columbia::ffb4b,Columbia Tools,ffb4b,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,3.68,All-Wall,5.20,1.52,41.30,1.01-5.00,>25%,no,5.20,single_observation,FFB4B Columbia Flat Box Stainless Steel Backing Washer #6113,ffb4b,,,,,3.68,single_observation,Columbia Stainless Steel Backing Washer (COLM-FFB4B),ffb4b
columbia::ct129a,Columbia Tools,ct129a,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,4.53,All-Wall,6.40,1.87,41.28,1.01-5.00,>25%,no,6.40,single_observation,CT129A Columbia Taper Strap Bracket #5991,ct129a,,,,,4.53,single_observation,Columbia Shaft Guide Bracket/Control Extension Support (COLM-CT129A),ct129a
columbia::ct10,Columbia Tools,ct10,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,4.85,All-Wall,6.85,2.00,41.24,1.01-5.00,>25%,no,6.85,single_observation,CT10 Columbia Taper Crimping Arm Bushing Right #5583,ct10,,,,,4.85,single_observation,Columbia Crimping Arm Bushing - Right (COLM-CT10),ct10
columbia::ah5,Columbia Tools,ah5,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,1.62,All-Wall,2.28,0.66,40.74,0.26-1.00,>25%,no,2.28,single_observation,AH5 Columbia Angle Head Frame Retainer Clip #5806,ah5,,,,,1.62,single_observation,Columbia Frame Retainer Clip / Blade Holder Stop (COLM-AH5),ah5
usg-sheetrock::340318,USG Sheetrock Tools,340318,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,6.04,All-Wall,8.49,2.45,40.56,1.01-5.00,>25%,no,8.49,single_observation,Sheetrock Bead Hopper Gate - Outside 90,340318,6.04,single_observation,Sheetrock Bead Hopper Gate - Outside 90,340318,,,,
columbia::fa275,Columbia Tools,fa275,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,1.53,All-Wall,2.15,0.62,40.52,0.26-1.00,>25%,no,2.15,single_observation,FA275 Columbia 10-24 X 3/4in Hex Bolt #6032,fa275,,,,,1.53,single_observation,Columbia 10-24 x  Hex Bolt (COLM-FA275),fa275
columbia::fa302,Columbia Tools,fa302,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,1.53,All-Wall,2.15,0.62,40.52,0.26-1.00,>25%,no,2.15,single_observation,FA302 Columbia 1/4-28 X 1/4in Set Screw #6051,fa302,,,,,1.53,single_observation,Columbia 1/4-28 x 1/4 Set Screw (COLM-FA302),fa302
columbia::cfb15a,Columbia Tools,cfb15a,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,1.96,All-Wall,2.75,0.79,40.31,0.26-1.00,>25%,no,2.75,single_observation,CFB15A Columbia Angle Box Hinge Bushing #5553,cfb15a,,,,,1.96,single_observation,Columbia Hinge Bushing for Corner Box (COLM-CFB15A),cfb15a
columbia::fa255,Columbia Tools,fa255,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,1.34,All-Wall,1.88,0.54,40.30,0.26-1.00,>25%,no,1.88,single_observation,FA255 Columbia 8-32 Nyloc Jam Nut #6020,fa255,,,,,1.34,single_observation,Columbia 8-32 Nyloc Jam Nut (COLM-FA255),fa255
columbia::fa234,Columbia Tools,fa234,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,1.32,All-Wall,1.85,0.53,40.15,0.26-1.00,>25%,no,1.85,single_observation,FA234 Columbia 6-32 Nyloc Jam Nut #6014,fa234,,,,,1.32,single_observation,Columbia 6-32 Nyloc Jam Nut (COLM-FA234),fa234
tapetech::059044,TapeTech,059044,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,13.79,Wall Tools,19.32,5.53,40.10,5.01-25.00,>25%,no,13.79,single_observation,TapeTech Insert 059044,059044,,,,,19.32,single_observation,TapeTech INSERT (TAPE-059044),059044
tapetech::502f4x,TapeTech,502f4x,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,73.64,All-Wall,102.99,29.35,39.86,>25.00,>25%,no,102.99,single_observation,"TapeTech 3.5"" Angle Head Blade Kit 502F4X",502f4x,73.64,single_observation,"TapeTech 3.5"" EZ Roll Corner Finisher Blade Kit - 502F4X",502f4x,,,,
tapetech::ch55tt,TapeTech,ch55tt,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,99.00,Al's Taping Tools,138.19,39.19,39.59,>25.00,>25%,no,99.00,single_observation,TapeTech 55 mm Cove Applicator Head CH55TT,ch55tt,138.19,single_observation,TapeTech 55 mm Cove Applicator Head CH55TT,ch55tt,,,,
tapetech::qb6043-5,TapeTech,qb6043-5,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,22.99,Al's Taping Tools,31.99,9.00,39.15,5.01-25.00,>25%,no,22.99,single_observation,"TapeTech 6.5"" QSX Notched Blade QB6043-5",qb6043-5,31.99,single_observation,"TapeTech 6.5"" QuickBox™ QSX Notched Blades 5pk",qb6043-5,,,,
tapetech::350034,TapeTech,350034,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,36.99,Wall Tools,51.44,14.45,39.06,5.01-25.00,>25%,no,36.99,single_observation,"TapeTech 8"" Angle Box Pressure Plate 350034",350034,,,,,51.44,single_observation,"TapeTech 8"" PRESSURE PLATE (TAPE-350034)",350034
tapetech::501c12,TapeTech,501c12,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,20.49,Wall Tools,28.44,7.95,38.80,5.01-25.00,>25%,no,20.49,single_observation,"TapeTech 12"" Flat Box Repair Kit 501C12",501c12,,,,,28.44,single_observation,TapeTech 12 in. Flat Box Repair Kit (TAPE-501C12),501c12
tapetech::501c10,TapeTech,501c10,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,18.99,Wall Tools,26.32,7.33,38.60,5.01-25.00,>25%,no,18.99,single_observation,"TapeTech 10"" Flat Box Repair Kit 501C10",501c10,,,,,26.32,single_observation,TapeTech 10 in. Flat Box Repair Kit,501c10
tapetech::150003f,TapeTech,150003f,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,51.99,Wall Tools,71.64,19.65,37.80,5.01-25.00,>25%,no,51.99,single_observation,TapeTech Coupling 150003F,150003f,,,,,71.64,single_observation,TapeTech COUPLING (TAPE-150003F),150003f
columbia::ffb20a,Columbia Tools,ffb20a,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,3.33,All-Wall,4.58,1.25,37.54,1.01-5.00,>25%,no,4.58,single_observation,FFB20A Columbia Flat Box Box Wheel Bearing #6103,ffb20a,,,,,3.33,single_observation,Columbia Axle Roller Bearing (COLM-FFB20A),ffb20a
columbia::ffb15,Columbia Tools,ffb15,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,1.67,All-Wall,2.28,0.61,36.53,0.26-1.00,>25%,no,2.28,single_observation,FFB15 Columbia Flat Box Door Spring Clip #6099,ffb15,,,,,1.67,single_observation,Columbia Door Spring Clip (COLM-FFB15),ffb15
tapetech::209006,TapeTech,209006,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,2.59,Wall Tools,3.52,0.93,35.91,0.26-1.00,>25%,no,2.59,single_observation,"TapeTech Skid Cover, Right 209006",209006,,,,,3.52,single_observation,TapeTech Skid Cover - Right Side,209006
tapetech::059206,TapeTech,059206,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,9.79,Wall Tools,13.29,3.50,35.75,1.01-5.00,>25%,no,9.79,single_observation,TapeTech 1/4-20 Special Hex Nut 059206,059206,,,,,13.29,single_observation,TapeTech 1/4-20 Hex Nut (TAPE-059206),059206
tapetech::rttc-tt,TapeTech,rttc-tt,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,13.99,Al's Taping Tools,18.99,5.00,35.74,1.01-5.00,>25%,no,13.99,single_observation,TapeTech Taper Cable Repair Tool RTTC-TT,rttc-tt,18.99,single_observation,TapeTech Taper Cable Repair Tool,rttc-tt,,,,
tapetech::304002,TapeTech,304002,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,178.99,Wall Tools,242.84,63.85,35.67,>25.00,>25%,no,178.99,single_observation,"TapeTech 12"" Flat Box Blade Holder Assembly 304002",304002,,,,,242.84,single_observation,"TapeTech BLADE HOLDER ASSEMBLY, 12"" BOX (TAPE-304002)",304002
surpro::ss1004,SurPro,ss1004,Al's Taping Tools vs Wall Tools,All-Wall,Wall Tools,28.40,Al's Taping Tools,38.50,10.10,35.56,5.01-25.00,>25%,no,,,,,38.50,single_observation,Sur-Pro Spring Kit,ss1004,28.40,single_observation,SurPro Stilt Spring Kit,ss1004
columbia::fa274,Columbia Tools,fa274,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,2.03,All-Wall,2.75,0.72,35.47,0.26-1.00,>25%,no,2.75,single_observation,FA274 Columbia 10-24 X 3/8in Socket Hd Screw #6031,fa274,,,,,2.03,single_observation,Columbia 10-24 x 3/8 in. Socket Screw (COLM-FA274),fa274
columbia::fa294,Columbia Tools,fa294,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,2.03,All-Wall,2.75,0.72,35.47,0.26-1.00,>25%,no,2.75,single_observation,FA294 Columbia 1/4-20 X 3/8 Socket Hd Screw #6044,fa294,,,,,2.03,single_observation,Columbia 1/4-20 x 3/8 Socket Screw (COLM-FA294),fa294
columbia::fa297,Columbia Tools,fa297,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,2.03,All-Wall,2.75,0.72,35.47,0.26-1.00,>25%,no,2.75,single_observation,FA297 Columbia 1/4-20 X 5/8in Socket Hd Scre #6047,fa297,,,,,2.03,single_observation,Columbia 1/4-20 x 5/8 Socket Screw (COLM-FA297),fa297
tapetech::054245f,TapeTech,054245f,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,61.19,Wall Tools,82.89,21.70,35.46,5.01-25.00,>25%,no,61.19,single_observation,TapeTech Trigger Assembly 054245F,054245f,,,,,82.89,single_observation,TapeTech Creaser Trigger (TAPE-054245F),054245f
tapetech::654036,TapeTech,654036,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,84.39,Wall Tools,113.87,29.48,34.93,>25.00,>25%,no,84.39,single_observation,"TapeTech 3"" Blade Clamp Assembly 654036",654036,,,,,113.87,single_observation,TapeTech BLADE CLAMP ASSY (TAPE-654036),654036
columbia::cr12,Columbia Tools,cr12,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,3.99,All-Wall,5.38,1.39,34.84,1.01-5.00,>25%,no,5.38,single_observation,CR12 Columbia Corner Roller Swivel Coupling Pin #5568,cr12,,,,,3.99,single_observation,Columbia Handle Connecting Link for Corner Roller (COLM-CR12),cr12
columbia::cfb25,Columbia Tools,cfb25,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,5.16,All-Wall,6.95,1.79,34.69,1.01-5.00,>25%,no,6.95,single_observation,CFB25 Columbia Angle Box Mud Supply Seal Plate #5560,cfb25,,,,,5.16,single_observation,Columbia Mud Supply Valve Seal Plate & Shaft (COLM-CFB25),cfb25
columbia::fa305,Columbia Tools,fa305,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,2.71,All-Wall,3.65,0.94,34.69,0.26-1.00,>25%,no,3.65,single_observation,FA305 Columbia 5/16-18 X 3/4in Hex Bolt #6053,fa305,,,,,2.71,single_observation,Columbia 5/16-18 x 3/4 Hex Bolt (COLM-FA305),fa305
usg-sheetrock::340405,USG Sheetrock Tools,340405,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,25.99,All-Wall,34.99,9.00,34.63,5.01-25.00,>25%,no,34.99,single_observation,"Sheetrock 10"" Classic Stainless Steel Mud Pan",340405,25.99,single_observation,"Sheetrock 10"" Classic Stainless Steel Mud Pan",340405,,,,
tapetech::050036,TapeTech,050036,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,13.25,All-Wall,17.83,4.58,34.57,1.01-5.00,>25%,no,17.83,single_observation,TapeTech Bracket Base 050036,050036,13.25,single_observation,Taper Bracket Base - CT87A,050036,,,,
columbia::ssb12,Columbia Tools,ssb12,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,31.99,All-Wall,42.99,11.00,34.39,5.01-25.00,>25%,no,42.99,single_observation,"Columbia 12"" Sabre Smoothing Blade",ssb12,31.99,single_observation,"Columbia Sabre Smoothing Blade 12""",ssb12,,,,
tapetech::qb6023-5,TapeTech,qb6023-5,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,22.99,Al's Taping Tools,30.75,7.76,33.75,5.01-25.00,>25%,no,22.99,single_observation,"TapeTech 6.5"" QSX Crown Finishing Blade QB6023-5",qb6023-5,30.75,single_observation,"TapeTech 6.5"" QuickBox™ QSX Crown Finishing Blades 5pk",qb6023-5,,,,
tapetech::cfcrnr,TapeTech,cfcrnr,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,11865.50,All-Wall,15865.00,3999.50,33.71,>25.00,>25%,no,15865.00,single_observation,TapeTech Continuous Flow Corner Finishing Bundle CFCRNR,cfcrnr,11865.50,single_observation,Ames Bazooka Continuous Flow Corner Finishing Bundle,cfcrnr,,,,
tapetech::209047,TapeTech,209047,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,2.39,Wall Tools,3.19,0.80,33.47,0.26-1.00,>25%,no,2.39,single_observation,TapeTech Nyliner Bearing 209047,209047,,,,,3.19,single_observation,TapeTech Nyliner Bearing (TAPE-209047),209047
columbia::cr2,Columbia Tools,cr2,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,15.52,All-Wall,20.64,5.12,32.99,5.01-25.00,>25%,no,20.64,single_observation,Columbia Roller Wheel CR2,cr2,,,,,15.52,single_observation,"Columbia Roller, 2 piece - Nylatron/Steel (COLM-CR2)",cr2
tapetech::219006,TapeTech,219006,Al's Taping Tools vs Wall Tools,All-Wall,Al's Taping Tools,8.00,Wall Tools,10.62,2.62,32.75,1.01-5.00,>25%,no,,,,,8.00,single_observation,219006 -  Right Skid Power Assist Boxes,219006,10.62,single_observation,"TapeTech SKID, RIGHT (TAPE-219006)",219006
tapetech::050240,TapeTech,050240,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,7.44,All-Wall,9.86,2.42,32.53,1.01-5.00,>25%,no,9.86,single_observation,TapeTech Post Socket 050240,050240,7.44,single_observation,Post (Socket) - 050240,050240,,,,
tapetech::681015,TapeTech,681015,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,75.99,Al's Taping Tools,100.59,24.60,32.37,5.01-25.00,>25%,no,75.99,single_observation,"TapeTech 3"" Nail Spotter Wiper 681015",681015,100.59,single_observation,"TapeTech 3"" Wiper For Nailspotter - 680015",681015,,,,
columbia::fa281,Columbia Tools,fa281,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,1.48,All-Wall,1.95,0.47,31.76,0.26-1.00,>25%,no,1.95,single_observation,FA281 Columbia 10-32 X Nyloc Jam Nut #6038,fa281,,,,,1.48,single_observation,Columbia 10-32 Nyloc Jam Nut (COLM-FA281),fa281
tapetech::pww-hv-hs-3,TapeTech,pww-hv-hs-3,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,37.99,Al's Taping Tools,49.99,12.00,31.59,5.01-25.00,>25%,no,37.99,single_observation,TapeTech Hi-Vis Hoodie - XLarge,pww-hv-hs-3,49.99,single_observation,TapeTech High Visibility Hooded Sweatshirt - XL,pww-hv-hs-3,,,,
usg-sheetrock::340106,USG Sheetrock Tools,340106,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,15.99,All-Wall,20.99,5.00,31.27,1.01-5.00,>25%,no,20.99,single_observation,"USG Sheetrock 5"" Classic Carbon Steel Putty Knife",340106,15.99,single_observation,"USG 5"" CLASSIC Carbon Steel Round Blade Finishing Knife",340106,,,,
tapetech::630010,TapeTech,630010,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,28.99,Wall Tools,38.00,9.01,31.08,5.01-25.00,>25%,no,28.99,single_observation,"TapeTech 2"" Nail Spotter Hinge Block 630010",630010,,,,,38.00,single_observation,"TapeTech 2"" HINGE BLOCK (TAPE-630010)",630010
tapetech::409021,TapeTech,409021,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,7.29,Wall Tools,9.55,2.26,31.00,1.01-5.00,>25%,no,7.29,single_observation,"TapeTech 2"" Retainer Spring 409021",409021,,,,,9.55,single_observation,"TapeTech Retainer Spring - 2"" Corner Finisher Head",409021
tapetech::050237,TapeTech,050237,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,14.51,All-Wall,18.91,4.40,30.32,1.01-5.00,>25%,no,18.91,single_observation,TapeTech Spool Shaft 050237,050237,14.51,single_observation,Spool Shaft - 050237,050237,,,,
columbia::ssb7,Columbia Tools,ssb7,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,19.99,All-Wall,25.99,6.00,30.02,5.01-25.00,>25%,no,25.99,single_observation,"Columbia 7"" Sabre Smoothing Blade",ssb7,19.99,single_observation,"Columbia Sabre Smoothing Blade 7""",ssb7,,,,
tapetech::604036,TapeTech,604036,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,75.99,Wall Tools,98.38,22.39,29.46,5.01-25.00,>25%,no,75.99,single_observation,"TapeTech 2"" Blade Clamp Assembly 604036",604036,,,,,98.38,single_observation,TapeTech BLADE CLAMP ASSY (TAPE-604036),604036
columbia::ssb48,Columbia Tools,ssb48,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,129.99,All-Wall,167.99,38.00,29.23,>25.00,>25%,no,167.99,single_observation,"Columbia 48"" Sabre Smoothing Blade",ssb48,129.99,single_observation,"Columbia Sabre Smoothing Blade 48""",ssb48,,,,
usg-sheetrock::340102,USG Sheetrock Tools,340102,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,15.49,All-Wall,19.99,4.50,29.05,1.01-5.00,>25%,no,19.99,single_observation,"USG Sheetrock 4"" Classic Carbon Steel Putty Knife",340102,15.49,single_observation,"USG 4"" CLASSIC Carbon Steel Round Blade Finishing Knife",340102,,,,
columbia::ffb7,Columbia Tools,ffb7,Al's Taping Tools vs Wall Tools,All-Wall,Wall Tools,2.67,Al's Taping Tools,3.44,0.77,28.84,0.26-1.00,>25%,no,,,,,3.44,single_observation,Columbia Flat Box Shoe (Right) - FFB7,ffb-7,2.67,single_observation,Columbia Shoe - right (COLM-FFB7),ffb7
columbia::ffb7a,Columbia Tools,ffb7a,Al's Taping Tools vs Wall Tools,All-Wall,Wall Tools,2.67,Al's Taping Tools,3.44,0.77,28.84,0.26-1.00,>25%,no,,,,,3.44,single_observation,Columbia Flat Box Shoe (Left) - FFB7A,ffb-7a,2.67,single_observation,Columbia Shoe - left (COLM-FFB7A),ffb7a
tapetech::tk14bstt,TapeTech,tk14bstt,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,13.99,Al's Taping Tools,17.99,4.00,28.59,1.01-5.00,>25%,no,13.99,single_observation,"TapeTech 14"" Premium Blue Steel Taping Knife",tk14bstt,17.99,single_observation,"TapeTech 14"" Premium Blue Steel Taping Knife",tk14bstt,,,,
columbia::fa306,Columbia Tools,fa306,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,2.71,All-Wall,3.48,0.77,28.41,0.26-1.00,>25%,no,3.48,single_observation,FA306 Columbia 5/16-18 X 1-1/4in Hex Bolt #6054,fa306,,,,,2.71,single_observation,Columbia 5/16-18 x 1-1/4 Hex Bolt (COLM-FA306),fa306
columbia::fa290,Columbia Tools,fa290,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,1.48,All-Wall,1.90,0.42,28.38,0.26-1.00,>25%,no,1.90,single_observation,1/4-20 Nyloc Nut,fa290,,,,,1.48,single_observation,Columbia ¼-20 Nyloc Nut (COLM-FA290),fa290
tapetech::200713,TapeTech,200713,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,14.14,All-Wall,18.10,3.96,28.01,1.01-5.00,>25%,no,18.10,single_observation,TapeTech Dial Post 200713,200713,14.14,single_observation,TapeTech Dial Post - 200713,200713,,,,
tapetech::200040,TapeTech,200040,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,28.79,Wall Tools,36.79,8.00,27.79,5.01-25.00,>25%,no,28.79,single_observation,"TapeTech 7"" Flat Box 4-40 Tie Rod 200040",200040,,,,,36.79,single_observation,"TapeTech 7"" TIE ROD (TAPE-200040F)",200040
tapetech::501c7,TapeTech,501c7,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,18.99,Wall Tools,24.22,5.23,27.54,5.01-25.00,>25%,no,18.99,single_observation,"TapeTech 7"" Flat Box Repair Kit 501C7",501c7,,,,,24.22,single_observation,"TapeTech 7"" FLAT BOX REPAIR KIT (TAPE-501C7)",501c7
columbia::ah9,Columbia Tools,ah9,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,9.71,All-Wall,12.25,2.54,26.16,1.01-5.00,>25%,no,12.25,single_observation,AH9 Columbia Angle Head Retainer Clip (Long) #5814,ah9,,,,,9.71,single_observation,"Columbia 2, 2.5, & 3 in. Bottom Retainer Clip (COLM-AH9)",ah9
tapetech::qb6003-5,TapeTech,qb6003-5,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,22.99,Al's Taping Tools,28.99,6.00,26.10,5.01-25.00,>25%,no,22.99,single_observation,TapeTech 6.5 QSX Flat Finishing Blade QB6003-5,qb6003-5,28.99,single_observation,"TapeTech 6.5"" QuickBox™ QSX Flat Finishing Blades 5pk",qb6003-5,,,,
tapetech::cfstcc,TapeTech,cfstcc,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,24.99,Al's Taping Tools,31.50,6.51,26.05,5.01-25.00,>25%,no,24.99,single_observation,TapeTech CFS Tool Cleaning Coupling CFSTCC,cfstcc,31.50,single_observation,TapeTech/Ames  CFS Tool Cleaning Coupling,cfstcc,,,,
tapetech::212081,TapeTech,212081,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,71.29,Wall Tools,89.83,18.54,26.01,5.01-25.00,>25%,no,71.29,single_observation,TapeTech Arm 212081,212081,,,,,89.83,single_observation,TapeTech ARM (TAPE-212081),212081
tapetech::480021,TapeTech,480021,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,6.39,Wall Tools,8.05,1.66,25.98,1.01-5.00,>25%,no,6.39,single_observation,TapeTech Blade Tension Spring 480021,480021,,,,,8.05,single_observation,TapeTech Blade Tension Spring (TAPE-480021),480021
columbia::cta-41,Columbia Tools,cta-41,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,91.99,Al's Taping Tools,115.76,23.77,25.84,5.01-25.00,>25%,no,91.99,single_observation,Columbia Cutter Block Assembly Maintenance Kit,cta-41,115.76,single_observation,Columbia Taper Cutter Block Assembly,cta-41,,,,
usg-sheetrock::340403,USG Sheetrock Tools,340403,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,31.99,All-Wall,39.99,8.00,25.01,5.01-25.00,>25%,no,39.99,single_observation,"Sheetrock 14"" Matrix Mud Pan with Reinforced Band",340403,31.99,single_observation,"Sheetrock 14"" Matrix Stainless Steel Mud Pan w/ Reinforced Band",340403,,,,
tapetech::889052,TapeTech,889052,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,1.12,Al's Taping Tools,1.40,0.28,25.00,0.26-1.00,10-25%,no,1.12,single_observation,TapeTech 6-32 X 1/4 Hex Cap Screw 889052,889052,1.40,single_observation,"6-32 X 1/4"" Hex Cap Screw - 889052",889052,,,,
tapetech::881005,TapeTech,881005,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,45.79,Al's Taping Tools,57.20,11.41,24.92,5.01-25.00,10-25%,no,45.79,single_observation,TapeTech Rear Brake Lever 881005,881005,57.20,single_observation,881005 - Rear Brake Lever,881005,,,,
tapetech::jk01sstt,TapeTech,jk01sstt,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,7.99,Al's Taping Tools,9.95,1.96,24.53,1.01-5.00,10-25%,no,7.99,single_observation,"TapeTech 1"" Premium Stainless Steel Joint Knife",jk01sstt,9.95,single_observation,"TapeTech 1"" Premium Stainless Steel Joint Knife",jk01sstt,,,,
tapetech::254002,TapeTech,254002,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,177.89,Wall Tools,221.24,43.35,24.37,>25.00,10-25%,no,177.89,single_observation,"TapeTech 10"" Flat Box Blade Holder Assembly 254002",254002,,,,,221.24,single_observation,TapeTech BLADE HOLDR ASSY (TAPE-254002),254002
usg-sheetrock::340414,USG Sheetrock Tools,340414,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,16.99,All-Wall,20.99,4.00,23.54,1.01-5.00,10-25%,no,20.99,single_observation,USG Sheetrock™ Tools Drywall Jab Saw,340414,16.99,single_observation,"Sheetrock Brand 6"" Key Hole/Jab Saw",340414,,,,
tapetech::tk10bstt,TapeTech,tk10bstt,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,12.99,Al's Taping Tools,15.99,3.00,23.09,1.01-5.00,10-25%,no,12.99,single_observation,"TapeTech 10"" Premium Blue Steel Taping Knife",tk10bstt,15.99,single_observation,"TapeTech 10"" Premium Blue Steel Taping Knife",tk10bstt,,,,
tapetech::sssa-f,TapeTech,sssa-f,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,49.99,Al's Taping Tools,61.53,11.54,23.08,5.01-25.00,10-25%,no,49.99,single_observation,TapeTech Single Angle Sanding Sponge Fine (Box Of 24),sssa-f,61.53,single_observation,TapeTech Single Angle Sanding Sponge - Fine - 24 Pack,sssa-f,,,,
tapetech::500003f,TapeTech,500003f,Al's Taping Tools vs Wall Tools,All-Wall,Al's Taping Tools,38.91,Wall Tools,47.78,8.87,22.80,5.01-25.00,10-25%,no,,,,,38.91,single_observation,"500003F - 7"" Seal Holder",500003f,47.78,single_observation,"TapeTech 7"" SEAL HOLDER (TAPE-500003F)",500003f
columbia::3wtdf,Columbia Tools,3wtdf,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,115.00,All-Wall,140.99,25.99,22.60,>25.00,10-25%,no,140.99,single_observation,"Columbia 3"" Widetrack Direct Corner Flusher",3wtdf,115.00,single_observation,"Columbia Taping Tools 3"" Widetrack Direct Drywall Corner Flusher",3wtdf,,,,
usg-sheetrock::340029,USG Sheetrock Tools,340029,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,15.50,All-Wall,18.99,3.49,22.52,1.01-5.00,10-25%,no,18.99,single_observation,"USG Sheetrock Pro-Series 8"" Blue Steel Taping Knife",340029,15.50,single_observation,"Sheetrock 8"" Pro-Series High Carbon Steel Joint Knife",340029,,,,
