Identity Key,Canonical Brand,Canonical Identifier,Conflict Pattern,Probable Cause,Outlier Retailer,Agreed Price,Outlier Price,All-Wall Price,Al's Taping Tools Price,Wall Tools Price,Absolute Spread,Spread % vs Lowest,Possible Pack Factor,All-Wall Evidence Quality,Al's Taping Tools Evidence Quality,Wall Tools Evidence Quality,All-Wall Product,Al's Taping Tools Product,Wall Tools Product
tapetech::ck06cstt,TapeTech,CK06CSTT,two_source_disagreement,requires_source_price_review,,,,8.99,14.95,,5.96,66.30,,single_observation,single_observation,,"TapeTech 6"" Carbon Steel Clipped Joint Knife","TapeTech 6"" Carbon Steel Clipped Joint Knife",
tapetech::jk03sstt,TapeTech,JK03SSTT,two_source_disagreement,requires_source_price_review,,,,9.99,15.95,,5.96,59.66,,single_observation,single_observation,,"TapeTech 3"" Premium Stainless Steel Joint Knife","TapeTech 3"" Premium Stainless Steel Joint Knife",
tapetech::jk04cstt,TapeTech,JK04CSTT,two_source_disagreement,requires_source_price_review,,,,10.99,16.95,,5.96,54.23,,single_observation,single_observation,,"TapeTech 4"" Premium Carbon Steel Joint Knife","TapeTech 4"" Premium Carbon Steel Joint Knife",
usg-sheetrock::340406,USG Sheetrock Tools,340406,two_source_disagreement,requires_source_price_review,,,,34.99,40.95,,5.96,17.03,,single_observation,single_observation,,"Sheetrock 12"" Classic Stainless Steel Mud Pan","Sheetrock 12"" Classic Stainless Steel Mud Pan",
columbia::bh3,Columbia Tools,BH3,two_source_disagreement,requires_source_price_review,,,,35.90,,29.95,5.95,19.87,,single_observation,,single_observation,Columbia Lower Mounting Bracket,,Columbia Lower Mounting Bracket for 180 Grip Flat Box Handle (COLM-BH3)
tapetech::880042,TapeTech,880042,two_source_disagreement,requires_source_price_review,,,,13.99,8.09,,5.90,72.93,,single_observation,single_observation,,TapeTech Rubber Grip Handle 880042,Rubber Grip Handle - 880042,
columbia::hh9,Columbia Tools,HH9,two_source_disagreement,requires_source_price_review,,,,50.01,,44.20,5.81,13.14,,single_observation,,single_observation,Columbia Coiled Hydraulic Hose for COL88,,Columbia Coiled Hydraulic Line for Hydra Reach Flat Box Handle (COLM-HH9)
tapetech::480209,TapeTech,480209,two_source_disagreement,requires_source_price_review,,,,46.19,51.96,,5.77,12.49,,single_observation,single_observation,,"TapeTech 3.5"" Carbide Blade 480209","3.5"" Angle Head Carbide Blade - 480209",
columbia::ffh1,Columbia Tools,FFH1,two_source_disagreement,possible_sale_or_stale_price,,,,64.34,,58.59,5.75,9.81,,single_observation,,single_observation,FFH1 Columbia Flat Box Handle Mounting Base #6120,,Columbia Handle Mounting Base (COLM-FFH1)
tapetech::700045,TapeTech,700045,two_source_disagreement,requires_source_price_review,,,,,12.34,18.09,5.75,46.60,,,single_observation,single_observation,,Retainer - 700045,TapeTech RETAINER (TAPE-700045)
tapetech::486201,TapeTech,486201,two_source_disagreement,possible_sale_or_stale_price,,,,253.69,259.42,,5.73,2.26,,single_observation,single_observation,,"TapeTech 3.5"" EasyRoll Head Casting 486201","486201 - 3.5"" EasyRoll Head Casting",
columbia::3csf,Columbia Tools,3CSF,two_source_disagreement,possible_sale_or_stale_price,,,,168.99,163.31,,5.68,3.48,,single_observation,single_observation,,"Columbia 3"" Combo Flusher",Columbia Combo Flusher,
surpro::ss1010l,SurPro,SS1010L,two_source_disagreement,requires_source_price_review,,,,,42.73,37.10,5.63,15.18,,,single_observation,single_observation,,Sur-Pro S2 Stilt Leg Band Kit (Left) - SS1010L,SurPro 2 Stilt Leg Band Kit (Left)
surpro::ss1010r,SurPro,SS1010R,two_source_disagreement,requires_source_price_review,,,,,42.73,37.10,5.63,15.18,,,single_observation,single_observation,,Sur-Pro S2 Stilt Leg Band Kit (Right) - SS1010R,SurPro 2 Stilt Leg Band Kit (Right)
tapetech::809011,TapeTech,809011,all_three_prices_distinct,requires_source_price_review,,,,11.99,17.60,17.54,5.61,46.79,,single_observation,single_observation,single_observation,TapeTech Dog Point Thumb Screw 809011,809011 - Dog Point 5/16-18x7/8 Thumb Screw,TapeTech 5/16-18/3/4 THUMBSCREW (TAPE-809011)
tapetech::ssdam,TapeTech,SSDA-M,two_source_disagreement,requires_source_price_review,,,,47.99,42.39,,5.60,13.21,,single_observation,single_observation,,TapeTech Dual Angle Sanding Sponge Medium (Box Of 24),TapeTech Dual Angle Sanding Sponge – Medium - 24 Pack,
tapetech::ssdamf,TapeTech,SSDA-MF,two_source_disagreement,requires_source_price_review,,,,47.99,42.39,,5.60,13.21,,single_observation,single_observation,,TapeTech Dual Angle Sanding Sponge Med/Fine (Box Of 24),TapeTech Dual Angle Premium Sanding Sponges – Medium/Fine - 24 Pack,
tapetech::050205,TapeTech,050205,all_three_prices_distinct,requires_source_price_review,,,,9.99,15.55,15.45,5.56,55.66,,single_observation,single_observation,single_observation,TapeTech Hex Head Cup Bolt 050205,Hex Head Cup Bolt (Special) - 050205,"TapeTech 1/4-20X3/4"" HED HD CUP BOLT (TAPE-050205)"
columbia::ct36,Columbia Tools,CT36,two_source_disagreement,requires_source_price_review,,,,39.16,,33.61,5.55,16.51,,single_observation,,single_observation,CT36 Columbia Taper Return Spring Tube #5609,,Columbia Return Spring Tube (COLM-CT36)
tapetech::059044,TapeTech,059044,two_source_disagreement,requires_source_price_review,,,,13.79,,19.32,5.53,40.10,,single_observation,,single_observation,TapeTech Insert 059044,,TapeTech INSERT (TAPE-059044)
columbia::hns82,Columbia Tools,"HNS8-2""",two_source_disagreement,requires_source_price_review,,,,38.44,,32.99,5.45,16.52,,single_observation,,single_observation,HNS8-2 Columbia Nail Spotter Blade Holder 2in #12527,,Columbia Blade Holder for 2 in. Hinged Nail Spotter (COLM-HNS8-2)
columbia::hns83,Columbia Tools,HNS8-3”,two_source_disagreement,requires_source_price_review,,,,38.44,,32.99,5.45,16.52,,single_observation,,single_observation,HNS8-3 Columbia Nail Spotter Blade Holder 3in #12528,,Columbia Blade Holder for 3 in. Hinged Nail Spotter (COLM-HNS8-3)
columbia::ct43,Columbia Tools,CT43,all_three_prices_distinct,requires_source_price_review,,,,37.66,36.39,32.32,5.34,16.52,,single_observation,single_observation,single_observation,CT43 Columbia Taper Micro Chain #5618,Taper Micro Chain #5618 - CT43,Columbia Micro Chain (Cutting System) (COLM-CT43)
columbia::mp6,Columbia Tools,MP6,two_source_disagreement,requires_source_price_review,,,,37.66,,32.32,5.34,16.52,,single_observation,,single_observation,MP6 Columbia Mud Pump Handle Link #6165,,Columbia Handle Link (One Piece) (COLM-MP6)
tapetech::050200,TapeTech,050200,all_three_prices_distinct,requires_source_price_review,,,,40.79,46.12,41.45,5.33,13.07,,single_observation,single_observation,single_observation,TapeTech Plastic Plunger 050200,Plastic Plunger - 050200,TapeTech PLUNGER (TAPE-050200)
tapetech::724065,TapeTech,724065,all_three_prices_distinct,requires_source_price_review,,,,20.21,16.96,22.29,5.33,31.43,,single_observation,single_observation,single_observation,TapeTech Quick Release Pin 724065,724065 - Quick Release Pin,TapeTech QUICK RELEASE PIN (TAPE-724065)
columbia::ct70,Columbia Tools,CT70,two_source_disagreement,requires_source_price_review,,,,37.64,,32.32,5.32,16.46,,single_observation,,single_observation,CT70 Columbia Taper Drive Shaft #5843,,Columbia Drive Shaft (COLM-CT70)
columbia::ct130,Columbia Tools,CT130,all_three_prices_distinct,requires_source_price_review,,,,27.14,21.94,23.29,5.20,23.70,,single_observation,single_observation,single_observation,CT130 Columbia Taper Extension Shaft #5993,CT130 - Taper Extension Shaft,Columbia Extension Shaft (COLM-CT130)
tapetech::882013,TapeTech,882013,two_source_disagreement,requires_source_price_review,,,,8.89,,14.02,5.13,57.71,,single_observation,,single_observation,TapeTech Locking Pin 882013,,TapeTech Locking Pin (TAPE-882013)
columbia::cr2,Columbia Tools,CR2,two_source_disagreement,requires_source_price_review,,,,20.64,,15.52,5.12,32.99,,single_observation,,single_observation,Columbia Roller Wheel CR2,,"Columbia Roller, 2 piece - Nylatron/Steel (COLM-CR2)"
columbia::ct6,Columbia Tools,CT6,two_source_disagreement,requires_source_price_review,,,,36.16,,31.04,5.12,16.49,,single_observation,,single_observation,CT6 Columbia Taper Side Plate Right #5576,,Columbia Stainless Steel Side Plate - Right (COLM-CT6)
tapetech::050086f,TapeTech,050086F,all_three_prices_distinct,requires_source_price_review,,,,11.39,16.50,11.60,5.11,44.86,,single_observation,single_observation,single_observation,TapeTech Head Bushing 050086F,Head Bushing - 050086,TapeTech Head Bushing
columbia::sb214,Columbia Tools,SB2-14,all_three_prices_distinct,requires_source_price_review,,,,37.77,35.00,40.07,5.07,14.49,,single_observation,single_observation,single_observation,"Columbia Replacement 14"" Blade for Tomahawk","Columbia Replacement 14"" Blade for Tomahawk",Columbia 14 in. Replacement Blade for Tomahawk Smoothing Blade
columbia::mp5,Columbia Tools,MP5,all_three_prices_distinct,requires_source_price_review,,,,26.38,21.33,22.64,5.05,23.68,,single_observation,single_observation,single_observation,MP5 Columbia Mud Pump Head Bushing #6164,Mud Pump Head Bushing - MP5,Columbia Head Bushing (COLM-MP5)
tapetech::059227,TapeTech,059227,two_source_disagreement,requires_source_price_review,,,,8.19,3.16,,5.03,159.18,,single_observation,single_observation,,TapeTech 10-32 Special Nut 059227,059227 - 10-32 Special Nut,
tapetech::pfb14,TapeTech,PFB14,two_source_disagreement,requires_source_price_review,,,,36.99,42.00,,5.01,13.54,,single_observation,single_observation,,"TapeTech 14"" Replacement Blade PFB14 2pk","TapeTech 14"" Replacement Blades for PFK14TT Skimming Knife",
columbia::ssb10,Columbia Tools,SSB10,two_source_disagreement,requires_source_price_review,,,,34.99,29.99,,5.00,16.67,,single_observation,single_observation,,"Columbia 10"" Sabre Smoothing Blade","Columbia Sabre Smoothing Blade 10""",
tapetech::nsatt,TapeTech,NSA-TT,two_source_disagreement,requires_source_price_review,,,,40.00,45.00,,5.00,12.50,,single_observation,single_observation,,TapeTech Nail Spotter Handle Adapter NSA-TT,TapeTech Nail Spotter Adapter - NSA-TT,
tapetech::rttctt,TapeTech,RTTC-TT,two_source_disagreement,requires_source_price_review,,,,13.99,18.99,,5.00,35.74,,single_observation,single_observation,,TapeTech Taper Cable Repair Tool RTTC-TT,TapeTech Taper Cable Repair Tool,
usg-sheetrock::340106,USG Sheetrock Tools,340106,two_source_disagreement,requires_source_price_review,,,,20.99,15.99,,5.00,31.27,,single_observation,single_observation,,"USG Sheetrock 5"" Classic Carbon Steel Putty Knife","USG 5"" CLASSIC Carbon Steel Round Blade Finishing Knife",
columbia::fbb48,Columbia Tools,FBB4-8,two_source_disagreement,possible_sale_or_stale_price,,,,55.70,,50.71,4.99,9.84,,single_observation,,single_observation,COLFBB4-8 Columbia 8in Fat Boy Flat Box Door,,"Columbia 8"" Fat Boy Flat Box Door (Pre-2006 Non-Hinged) (COLM-FBB4-8)"
tapetech::219039,TapeTech,219039,two_source_disagreement,requires_source_price_review,,,,,6.25,11.24,4.99,79.84,,,single_observation,single_observation,,219039 - TapeTech Left Skid for Power Assist Boxes,"TapeTech SKID, LEFT (TAPE-219039)"
tapetech::154007,TapeTech,154007,two_source_disagreement,requires_source_price_review,,,,53.49,,48.53,4.96,10.22,,single_observation,,single_observation,TapeTech Swivel Assembly 154007,,TapeTech Swivel Assembly (TAPE-154007)
columbia::ct105,Columbia Tools,CT105,two_source_disagreement,requires_source_price_review,,,,34.62,,29.72,4.90,16.49,,single_observation,,single_observation,CT105 Columbia Taper Crimper Lever #5965,,Columbia Crimper Lever (COLM-CT105)
tapetech::400005,TapeTech,400005,two_source_disagreement,requires_source_price_review,,,,8.39,,13.29,4.90,58.40,,single_observation,,single_observation,"TapeTech 2"" Blade Tension Spring 400005",,TapeTech Blade Tension Spring (TAPE-400005)
usg-sheetrock::340900,USG Sheetrock Tools,340900,two_source_disagreement,possible_sale_or_stale_price,,,,59.99,64.89,,4.90,8.17,,single_observation,single_observation,,Sheetrock No-Flip Drywall Pole Sander,Sheetrock Tools Drywall Pole Sander,
tapetech::501h,TapeTech,501H,all_three_prices_distinct,requires_source_price_review,,,,23.09,19.26,24.15,4.89,25.39,,single_observation,single_observation,single_observation,TapeTech Pump Repair Kit 501H,TapeTech Pump Wear Parts Kit - 501H,TapeTech Pump Repair Kit (TAPE-501H)
columbia::cr,Columbia Tools,CR,two_source_disagreement,possible_sale_or_stale_price,,,,162.75,167.63,,4.88,3.00,,single_observation,single_observation,,Columbia Corner Roller Head Only,Columbia Corner Roller,
columbia::mp2,Columbia Tools,MP2,two_source_disagreement,requires_source_price_review,,,,33.90,,29.10,4.80,16.49,,single_observation,,single_observation,Columbia Foot Valve Casting,,Columbia Foot Valve Casting (COLM-MP2)
tapetech::220002,TapeTech,220002,two_source_disagreement,possible_sale_or_stale_price,,,,101.07,,105.84,4.77,4.72,,single_observation,,single_observation,"TapeTech 7"" Power Assist /EasyClean® Box Blade Holder 220002",,"TapeTech 7"" BLADE HOLDER, EASYCLEAN (TAPE-220002)"
tapetech::700011f,TapeTech,700011F,two_source_disagreement,requires_source_price_review,,,,,39.13,43.89,4.76,12.16,,,single_observation,single_observation,,Foot Valve - 700011,TapeTech FOOT VALVE (TAPE-700011F)
tapetech::054075,TapeTech,054075,all_three_prices_distinct,requires_source_price_review,,,,35.49,40.14,36.09,4.65,13.10,,single_observation,single_observation,single_observation,TapeTech Tape Runner Assembly - Right 054075,Tape Runner Assembly (Right) - 054075,TapeTech TAPE RUNNER ASSEMBLY (TAPE-054075)
tapetech::054104,TapeTech,054104,all_three_prices_distinct,requires_source_price_review,,,,35.49,40.14,36.09,4.65,13.10,,single_observation,single_observation,single_observation,TapeTech Tape Runner Assembly - Left 054104,Tape Runner Assembly (Left) - 054104,TapeTech TAPE RUNNER ASSEMBLY (TAPE-054104)
columbia::sb224,Columbia Tools,SB2-24,two_source_disagreement,possible_sale_or_stale_price,,,,50.00,,54.64,4.64,9.28,,single_observation,,single_observation,"Columbia Replacement 24"" Blade for Tomahawk",,Columbia 24 in. Replacement Blade for Tomahawk Smoothing Blade
tapetech::420016,TapeTech,420016,two_source_disagreement,possible_sale_or_stale_price,,,,203.19,207.80,,4.61,2.27,,single_observation,single_observation,,"TapeTech 2.5"" Frame, Right 420016",420016 - 2.5in Frame (Right),
tapetech::050036,TapeTech,050036,two_source_disagreement,requires_source_price_review,,,,17.83,13.25,,4.58,34.57,,single_observation,single_observation,,TapeTech Bracket Base 050036,Taper Bracket Base - CT87A,
columbia::ffb47,Columbia Tools,FFB4-7,two_source_disagreement,possible_sale_or_stale_price,,,,51.18,,46.61,4.57,9.80,,single_observation,,single_observation,"COLFFB4-7 Columbia 7"" Flat Box Door",,"Columbia 7"" Flat Finisher Flat Box Door (Pre-2006 Non-Hinged) (COLM-FFB4-7)"
columbia::ffb48,Columbia Tools,FFB4-8,two_source_disagreement,possible_sale_or_stale_price,,,,51.18,,46.61,4.57,9.80,,single_observation,,single_observation,FFB4-8 Columbia Flat Box Door 8in #6069,,"Columbia 8"" Flat Finisher Flat Box Door (Pre-2006 Non-Hinged) (COLM-FFB4-8)"
columbia::hhr1,Columbia Tools,HHR-1,two_source_disagreement,requires_source_price_review,,,,38.94,,34.43,4.51,13.10,,single_observation,,single_observation,Columbia Hydra Handle Repair Kit,,COLUMBIA HYDRA HANDLE REPAIR KIT (COLM-HHR-1)
tapetech::501f3a,TapeTech,501F3A,two_source_disagreement,requires_source_price_review,,,,39.49,34.99,,4.50,12.86,,single_observation,single_observation,,"TapeTech 3"" Angle Head Repair Kit 501F3A","TapeTech 3"" Corner Finisher Repair Kit - 501F3A",
usg-sheetrock::340102,USG Sheetrock Tools,340102,two_source_disagreement,requires_source_price_review,,,,19.99,15.49,,4.50,29.05,,single_observation,single_observation,,"USG Sheetrock 4"" Classic Carbon Steel Putty Knife","USG 4"" CLASSIC Carbon Steel Round Blade Finishing Knife",
tapetech::480008f,TapeTech,480008F,all_three_prices_distinct,requires_source_price_review,,,,16.29,20.74,16.57,4.45,27.32,,single_observation,single_observation,single_observation,"TapeTech Spring Adjusting Cam, Left 480008F",Spring Adjusting Cam (Left) - 480008,"TapeTech Spring Adjuster Cam, Right (TAPE-480008F)"
tapetech::059331,TapeTech,059331,two_source_disagreement,requires_source_price_review,,,,0.99,5.40,,4.41,445.45,,single_observation,single_observation,,TapeTech 10-32 x 5/16 Hex Setscrew Cup Pt 059331,"059331 - Setscrew, 10-32x5",
tapetech::140009g,TapeTech,140009G,two_source_disagreement,possible_sale_or_stale_price,,,,262.69,,267.10,4.41,1.68,,single_observation,,single_observation,TapeTech MudRunner Control Tube 140009G,,TapeTech CONTROL TUBE  (TAPE-140009G)
tapetech::050237,TapeTech,050237,two_source_disagreement,requires_source_price_review,,,,18.91,14.51,,4.40,30.32,,single_observation,single_observation,,TapeTech Spool Shaft 050237,Spool Shaft - 050237,
tapetech::050204,TapeTech,050204,two_source_disagreement,requires_source_price_review,,,,9.99,,14.37,4.38,43.84,,single_observation,,single_observation,TapeTech Plunger Cup Washer 050204,,TapeTech PLUNGER CUP WASHER (TAPE-050204)
columbia::ffh3,Columbia Tools,FFH3,two_source_disagreement,requires_source_price_review,,,,37.66,,33.29,4.37,13.13,,single_observation,,single_observation,FFH3 Columbia Flat Box Handle Lower Mounting Bracket #6122,,Columbia Lower Mounting Bracket (COLM-FFH3)
tapetech::300009,TapeTech,300009,all_three_prices_distinct,requires_source_price_review,,,,14.29,18.63,14.57,4.34,30.37,,single_observation,single_observation,single_observation,"TapeTech 12"" Flat Box Shim 300009","2 - Shim 12""",TapeTech SHIM (TAPE-300009)
tapetech::050070f,TapeTech,050070F,all_three_prices_distinct,requires_source_price_review,,,,9.39,13.72,9.59,4.33,46.11,,single_observation,single_observation,single_observation,TapeTech Creaser Wheel Axle 050070F,Creaser Wheel Axle - 050070,TapeTech AXLE CREASER WHEEL (TAPE-050070F)
columbia::ct82,Columbia Tools,CT82,two_source_disagreement,requires_source_price_review,,,,30.12,,25.84,4.28,16.56,,single_observation,,single_observation,CT82 Columbia Taper Clutch Lever #5854,,Columbia Clutch Lever (COLM-CT82)
columbia::ct97,Columbia Tools,CT97,two_source_disagreement,requires_source_price_review,,,,30.14,,25.86,4.28,16.55,,single_observation,,single_observation,CT97 Columbia Taper Mud Supply Valve Body #5959,,Columbia Mud Supply Valve Body (COLM-CT97)
columbia::cfb15,Columbia Tools,CFB15,two_source_disagreement,requires_source_price_review,,,,30.10,,25.84,4.26,16.49,,single_observation,,single_observation,CFB15 Columbia Angle Box Door Hinge #5552,,Columbia Door Hinge (COLM-CFB15)
columbia::cr11,Columbia Tools,CR11,two_source_disagreement,requires_source_price_review,,,,30.10,,25.84,4.26,16.49,,single_observation,,single_observation,CR11 Columbia Corner Roller Handle Connecting Link #5567,,Columbia Handle Connecting Link (COLM-CR11)
columbia::ct107,Columbia Tools,CT107,two_source_disagreement,requires_source_price_review,,,,30.10,,25.84,4.26,16.49,,single_observation,,single_observation,CT107 Columbia Taper Piston Body #5967,,Columbia Piston Body (COLM-CT107)
columbia::ct90,Columbia Tools,CT90,two_source_disagreement,requires_source_price_review,,,,30.10,,25.84,4.26,16.49,,single_observation,,single_observation,CT90 Columbia Taper Rod Sleeve Housing #5864,,Columbia Clutch Release Rod Sleeve Housing (COLM-CT90)
tapetech::502h,TapeTech,502H,two_source_disagreement,requires_source_price_review,,,,32.69,,36.94,4.25,13.00,,single_observation,,single_observation,TapeTech Pump Rebuild Kit 502H,,TapeTech Mud Pump Rebuild Kit
columbia::ct127,Columbia Tools,CT127,two_source_disagreement,requires_source_price_review,,,,36.56,,32.32,4.24,13.12,,single_observation,,single_observation,CT127 Columbia Taper Extension Shaft Bracket #5988,,Columbia Extension Shaft Bracket (COLM-CT127)
tapetech::603031,TapeTech,603031,two_source_disagreement,requires_source_price_review,,,,,5.82,9.97,4.15,71.31,,,single_observation,single_observation,,Special Nut - 603031,TapeTech NUT SPECIAL (TAPE-603031)
columbia::bh26,Columbia Tools,BH26,all_three_prices_distinct,requires_source_price_review,,,,12.38,9.62,8.25,4.13,50.06,,single_observation,single_observation,single_observation,BH26 Columbia Box Handle Cam for 180 Handle #11575,Box Handle Cam for 180 Handle - BH26,Columbia Cam for 180 Grip Flat Box Handle (COLM-BH26)
usg-sheetrock::340017,USG Sheetrock Tools,340017,two_source_disagreement,requires_source_price_review,,,,21.99,17.96,,4.03,22.44,,single_observation,single_observation,,"Sheetrock 6"" Matrix Blue Steel Drywall Taping Knife","Sheetrock 6"" MATRIX Blue Steel Finishing Knife",
tapetech::pfb12,TapeTech,PFB12,two_source_disagreement,requires_source_price_review,,,,32.99,37.00,,4.01,12.16,,single_observation,single_observation,,"TapeTech 12"" Replacement Blade PFB12 2pk","TapeTech 12"" Replacement Blades for PFK12TT Skimming Knife",
tapetech::pfb18,TapeTech,PFB18,two_source_disagreement,possible_sale_or_stale_price,,,,43.99,48.00,,4.01,9.12,,single_observation,single_observation,,"TapeTech 18"" Replacement Blade PFB18 2pk","TapeTech 18"" Replacement Blades for PFK18TT Skimming Knife",
columbia::sb218,Columbia Tools,SB2-18,two_source_disagreement,possible_sale_or_stale_price,,,,43.35,,47.35,4.00,9.23,,single_observation,,single_observation,"Columbia Replacement 18"" Blade for Tomahawk",,Columbia 18 in. Replacement Blade for Tomahawk Smoothing Blade
tapetech::fhttcaatt,TapeTech,FHTT/CAA-TT,two_source_disagreement,possible_sale_or_stale_price,,,,104.00,100.00,,4.00,4.00,,single_observation,single_observation,,TapeTech Fiberglass Angle Box Handle FHTT/CAA,TapeTech Fiberglass Corner Box Handle Kit,
tapetech::tk14bstt,TapeTech,TK14BSTT,two_source_disagreement,requires_source_price_review,,,,13.99,17.99,,4.00,28.59,,single_observation,single_observation,,"TapeTech 14"" Premium Blue Steel Taping Knife","TapeTech 14"" Premium Blue Steel Taping Knife",
usg-sheetrock::340414,USG Sheetrock Tools,340414,two_source_disagreement,requires_source_price_review,,,,20.99,16.99,,4.00,23.54,,single_observation,single_observation,,USG Sheetrock™ Tools Drywall Jab Saw,"Sheetrock Brand 6"" Key Hole/Jab Saw",
tapetech::200713,TapeTech,200713,two_source_disagreement,requires_source_price_review,,,,18.10,14.14,,3.96,28.01,,single_observation,single_observation,,TapeTech Dial Post 200713,TapeTech Dial Post - 200713,
tapetech::jk02sstt,TapeTech,JK02SSTT,two_source_disagreement,requires_source_price_review,,,,8.99,12.95,,3.96,44.05,,single_observation,single_observation,,"TapeTech 2"" Premium Stainless Steel Joint Knife","TapeTech 2"" Premium Stainless Steel Joint Knife",
tapetech::pk35cstt,TapeTech,PK35CSTT,two_source_disagreement,requires_source_price_review,,,,8.99,12.95,,3.96,44.05,,single_observation,single_observation,,"TapeTech 3.5"" Carbon Steel Pointing Knife","TapeTech 3.5"" Carbon Steel Pointing Knife",
tapetech::050073,TapeTech,050073,all_three_prices_distinct,requires_source_price_review,,,,3.59,7.54,3.67,3.95,110.03,,single_observation,single_observation,single_observation,TapeTech Creaser Wheel 050073,Automatic Taper Creaser Wheel - 050073,TapeTech CREASER WHEEL (TAPE-050073)
tapetech::052051,TapeTech,052051,two_source_disagreement,requires_source_price_review,,,,26.29,22.34,,3.95,17.68,,single_observation,single_observation,,TapeTech Cover Plate Screw 052051,Cover Plate Screw for 07TT - 052051,
tapetech::882002,TapeTech,882002,two_source_disagreement,possible_sale_or_stale_price,,,,172.09,176.03,,3.94,2.29,,single_observation,single_observation,,TapeTech Profile Extrusion Assembly 882002,Profile Extrusion - 882002,
usg-sheetrock::340006,USG Sheetrock Tools,340006,two_source_disagreement,requires_source_price_review,,,,22.99,19.06,,3.93,20.62,,single_observation,single_observation,,"USG Sheetrock 5"" Matrix Carbon Steel Putty Knife","Sheetrock 5"" Matrix Carbon Steel Putty Knife",
tapetech::130001,TapeTech,130001,two_source_disagreement,requires_source_price_review,,,,25.99,22.09,,3.90,17.66,,single_observation,single_observation,,TapeTech Mud Tube Cap 130001,Cap Mud Tube - 130001,
columbia::mp28,Columbia Tools,MP28,two_source_disagreement,requires_source_price_review,,,,12.28,,8.42,3.86,45.84,,single_observation,,single_observation,MP28 Columbia Mud Pump Filler Nut #5875,,Columbia Filler Nut (COLM-MP28)
columbia::ah1a,Columbia Tools,AH1A,two_source_disagreement,requires_source_price_review,,,,12.18,,8.36,3.82,45.69,,single_observation,,single_observation,Columbia Spring Housing Angle Head,,Columbia Return Spring Holder (COLM-AH1A)
columbia::ct53,Columbia Tools,CT53,two_source_disagreement,requires_source_price_review,,,,26.38,,22.64,3.74,16.52,,single_observation,,single_observation,Columbia Taper Toe Kicker CT53,,Columbia Toe Kicker (COLM-CT53)
tapetech::680009,TapeTech,680009,all_three_prices_distinct,requires_source_price_review,,,,21.19,24.89,21.55,3.70,17.46,,single_observation,single_observation,single_observation,"TapeTech 3"" Nail Spotter Facing 680009",Facing - 680009,"TapeTech 3"" FACING (TAPE-680009)"
tapetech::630009,TapeTech,630009,all_three_prices_distinct,requires_source_price_review,,,,21.19,24.81,21.55,3.62,17.08,,single_observation,single_observation,single_observation,"TapeTech 2"" Nail Spotter Facing 630009",Facing - 630009,"TapeTech 2"" FACING (TAPE-630009)"
columbia::tsb40,Columbia Tools,TSB-40,all_three_prices_distinct,possible_sale_or_stale_price,,,,154.99,151.41,154.36,3.58,2.36,,single_observation,single_observation,single_observation,"Columbia 40"" Tomahawk Smoothing Blade","Columbia 40"" Tomahawk Smoothing Blade",Columbia 40 in. Tomahawk Smoothing Blade
tapetech::059061f,TapeTech,059061F,all_three_prices_distinct,requires_source_price_review,,,,8.00,5.61,4.44,3.56,80.18,,single_observation,single_observation,single_observation,TapeTech Valve Spring 059061F,059061 - Valve Spring,TapeTech Valve Spring
columbia::sb232,Columbia Tools,SB2-32,two_source_disagreement,possible_sale_or_stale_price,,,,58.37,,61.92,3.55,6.08,,single_observation,,single_observation,"Columbia Replacement 32"" Blade for Tomahawk",,Columbia 32 in. Replacement Blade for Tomahawk Smoothing Blade
usg-sheetrock::340505,USG Sheetrock Tools,340505,two_source_disagreement,requires_source_price_review,,,,24.99,21.44,,3.55,16.56,,single_observation,single_observation,,"USG Sheetrock 5"" Matrix Stainless Steel Putty Knife","USG Sheetrock 5"" Matrix Stainless Steel Putty Knife",
columbia::cbncr,Columbia Tools,CBNCR,all_three_prices_distinct,possible_sale_or_stale_price,,,,87.00,86.52,90.06,3.54,4.09,,single_observation,single_observation,single_observation,Columbia Outside Bullnose Corner Roller,Columbia Outside Bullnose Corner Roller,Columbia Outside Bullnose Bead Roller
columbia::ct95,Columbia Tools,CT95,two_source_disagreement,requires_source_price_review,,,,11.30,,7.77,3.53,45.43,,single_observation,,single_observation,CT95 Columbia Taper Control Valve #5870,,Columbia Mud Gate Control Valve Plate (COLM-CT95)
columbia::ctr1,Columbia Tools,CTR-1,all_three_prices_distinct,requires_source_price_review,,,,22.99,24.99,26.51,3.52,15.31,,single_observation,single_observation,single_observation,Columbia Taper Maintenance Kit,Columbia Taper Maintenance Kit,Columbia Automatic Taper Repair Kit - Blades & Cable Kit (COLM-CTR1)
tapetech::qb80035,TapeTech,QB8003-5,two_source_disagreement,possible_sale_or_stale_price,,,,39.99,43.50,,3.51,8.78,,single_observation,single_observation,,"TapeTech 8"" QSX Flat Finishing Blade QB8003-5","TapeTech 8"" QuickBox™ QSX Flat Finishing Blades 5pk",
tapetech::059206,TapeTech,059206,two_source_disagreement,requires_source_price_review,,,,9.79,,13.29,3.50,35.75,,single_observation,,single_observation,TapeTech 1/4-20 Special Hex Nut 059206,,TapeTech 1/4-20 Hex Nut (TAPE-059206)
