Brand,Product Name,SKU,Product Price,Product Description,Matched DTB Brand,DTB Brand Match Method,DTB Brand Match Confidence,Strict Identifier,Canonical Identifier,Identifier Alias Applied,Description Quality
Columbia,"Columbia 6"" Comfort Grip Putty Knife",3CGPK6,15.42,"Columbia 6"" Three-Way Comfort Grip Putty Knife The Columbia 6"" Three-Way Comfort Grip Putty Knife is engineered for professional drywall finishers and painters who need a versatile, durable tool for patching, scraping, spreading, and corner finishing. Its innovative three-way blade design makes it especially effective for inside corners, allowing for faster application while producing cleaner, more consistent results. Constructed from premium stainless steel, the blade resists rust and corrosion while maintaining the flexibility and strength required for everyday professional use. The tapered blade design helps protect your knuckles from contacting the wall while minimizing grooves and drag marks, resulting in smoother finishes with less sanding. The ergonomic Comfort Grip handle provides a secure, comfortable hold that reduces hand fatigue during extended use. An integrated hammerhead adds extra functionality, allowing you to set drywall nails, tap loose materials into place, or perform quick jobsite adjustments without reaching for another tool. Designed for versatility and built to withstand demanding jobsite conditions, the Columbia Three-Way Comfort Grip Putty Knife is an essential addition to any drywall finishing or painting toolkit. Features: 6-inch professional three-way putty knife Innovative three-way blade design for faster, cleaner inside corner finishing Premium stainless-steel blade resists rust and corrosion Tapered blade design protects knuckles while minimizing grooves and drag marks Ergonomic Comfort Grip handle provides excellent control and reduces hand fatigue Built-in hammerhead for added jobsite convenience Ideal for applying joint compound, patching, scraping, spreading, and corner finishing Durable professional-grade construction for everyday use",Columbia Tools,canonical_brand_evidence,1.00,3cgpk6,3cgpk6,no,product_specific
Columbia,"Columbia 6"" Comfort Grip Putty Knife",CGPK6,15.42,"Columbia 6"" Comfort Grip Putty Knife The Columbia 6"" Comfort Grip Putty Knife is designed for professional drywall finishing, patching, and repair applications that require precise control. Its compact 4-inch blade is ideal for filling holes, repairing cracks, applying joint compound, and smoothing patching materials across small areas. The high-quality stainless-steel blade provides the durability and controlled flexibility needed to spread and feather compound smoothly. Its corrosion-resistant construction supports dependable performance through frequent professional use while making the blade easier to clean and maintain. A rubberized Comfort Grip handle delivers a secure, comfortable hold for maximum control during detailed finishing work. Designed to reduce hand fatigue throughout the workday, this versatile Columbia putty knife is a dependable choice for drywall finishers, painters, remodelers, and maintenance professionals. Features: 6-inch professional putty knife High-quality stainless-steel blade provides durability and flexibility Corrosion-resistant blade supports long-lasting professional use Controlled blade flex helps spread and smooth compound evenly Rubberized Comfort Grip handle provides maximum comfort and control Ergonomic design helps reduce hand fatigue during extended use Ideal for filling holes, cracks, and surface imperfections Suitable for applying joint compound, spackle, and patching materials Useful for drywall finishing, painting, repairs, and surface preparation Designed for professional contractors and remodelers",Columbia Tools,canonical_brand_evidence,1.00,cgpk6,cgpk6,no,product_specific
Columbia,"Columbia 6"" Nylon Putty Knife",3NPK6,16.67,"Columbia 6"" Three-Way Nylon Putty Knife The Columbia 6"" Three-Way Nylon Handle Putty Knife is designed to make three-way corner finishing faster, cleaner, and more precise. Building on ColumbiaÕs professional stainless-steel putty knife design, this specialized knife features a refined blade profile that provides improved access and control where multiple drywall surfaces meet. The higher blade arch and inward taper help keep the handle and the userÕs knuckles away from surrounding walls. This reduces interference with adjacent surfaces while allowing the stainless-steel blade to move smoothly through tight three-way corners. The optimized shape also helps minimize grooves, drag marks, and excess compound buildup for cleaner results with less corrective sanding. A durable nylon handle provides a secure, comfortable grip and stands up to demanding everyday jobsite use. The flexible stainless-steel blade delivers the control needed to apply, shape, and smooth joint compound in difficult corner areas. Ideal for professional drywall finishing, detail work, repairs, and compound application, the Columbia Three-Way Nylon Putty Knife provides the precision and durability needed for clean, consistent finishes. Features: 6-inch putty knife designed for three-way corner finishing Higher blade arch provides improved clearance around adjoining walls Inward-tapered blade helps prevent interference with surrounding surfaces Specialized profile protects knuckles while working in tight corners Stainless-steel blade provides strength, flexibility, and corrosion resistance Helps minimize grooves, drag marks, and excess compound buildup Durable nylon handle provides a comfortable and secure grip Ideal for applying, shaping, and smoothing joint compound Built for professional drywall finishing, patching, and detail work",Columbia Tools,canonical_brand_evidence,1.00,3npk6,3npk6,no,product_specific
Columbia,"Columbia 6"" Nylon Putty Knife",NPK6,16.67,"Columbia 6"" Nylon Putty Knife The Columbia 4"" Nylon Putty Knife is designed for detailed drywall finishing, patching, and repair work. Its 6-inch blade provides the control needed to apply, shape, and smooth joint compound over fastener holes, seams, cracks, and surface imperfections. The premium stainless steel blade offers the durability and flexibility required for smooth, consistent finishes. Its flexible design helps drywall finishers feather compound cleanly into the surrounding surface while maintaining precise control in tight or detailed work areas. A durable nylon handle provides a secure, comfortable grip, while the integrated hammer head adds strength and jobsite versatility. Built for professional performance, the Columbia 4-inch putty knife is a dependable hand tool for drywall contractors, painters, remodelers, and maintenance crews. Features: Compact 6-inch blade for detailed finishing work Premium stainless steel blade Flexible blade supports smooth compound application Helps feather edges for a clean, even finish Ideal for filling fastener holes, cracks, and small repairs Suitable for applying and shaping joint compound Durable nylon handle Comfortable design provides a secure grip Integrated hammer head for added strength and versatility Useful for drywall finishing, patching, and touch-ups Built for professional jobsite performance Easy-to-clean blade and handle construction",Columbia Tools,canonical_brand_evidence,1.00,npk6,npk6,no,product_specific
Columbia,"Columbia 6"" One Piece Putty Knife",OPPK6,17.48,"Columbia 6"" One Piece Putty Knife The Columbia 6"" One Piece Putty Knife is a versatile drywall finishing tool designed for applying, spreading, and smoothing joint compound over seams, fastener heads, cracks, and small repairs. Its 6-inch blade offers a practical balance of coverage and control, making it useful for both detailed patching and everyday finishing work. Crafted from a single piece of stainless steel with welded construction, this professional putty knife delivers dependable strength, flexibility, and long-lasting performance. The flexible blade helps apply compound evenly and feather edges smoothly, while the one-piece design eliminates common weak points between the blade and handle. An ergonomic integrated grip promotes comfort and control while helping reduce strain during repetitive work. Its corrosion-resistant stainless steel construction is easy to clean and built to withstand regular use by drywall contractors, painters, remodelers, and maintenance professionals. Features: Versatile 6-inch blade Ideal for drywall patching and finishing Suitable for filling fastener heads, cracks, and small repairs Helps spread and smooth joint compound Flexible blade supports clean feathered edges One-piece stainless steel construction Welded design maximizes strength and reliability Eliminates weak blade-to-handle connection points Ergonomic integrated grip Provides comfort and control during repeated use Corrosion-resistant construction Easy to clean and maintain Built for professional jobsite applications",Columbia Tools,canonical_brand_evidence,1.00,oppk6,oppk6,no,product_specific
Columbia,"Columbia 6.5"" One Piece Bucket Scoop",OPBS,18.32,"Columbia 6.5"" One Piece Bucket Scoop The Columbia 6.5"" One Piece Bucket Scoop is designed for efficiently removing joint compound from buckets and transferring material to mud pans, hawks, and drywall finishing tools. Its wide 6.5-inch profile helps scoop more compound with each pass while reaching along the sides and bottom of the bucket to reduce wasted material. Crafted from a single piece of stainless steel with welded construction, this professional bucket scoop delivers excellent strength, durability, and reliability. The corrosion-resistant stainless steel surface is easy to clean and built to withstand repeated use with joint compound and other finishing materials. An ergonomic integrated grip provides comfortable control while scooping, scraping, and transferring compound. The one-piece construction eliminates weak connection points, making the Columbia bucket scoop a dependable choice for drywall contractors and professional finishing crews. Features: Wide 6.5-inch scoop for efficient material transfer Designed for removing joint compound from buckets Helps load mud pans, hawks, and finishing tools Reaches bucket sides and bottom to reduce material waste One-piece stainless steel construction Welded design provides added strength and durability Corrosion-resistant surface Ergonomic grip promotes comfort and control Helps reduce hand strain during repeated use Smooth surface is easy to clean Suitable for joint compound and other finishing materials Built for professional drywall finishing applications",Columbia Tools,canonical_brand_evidence,1.00,opbs,opbs,no,product_specific
Columbia,"Columbia 60"" 180-Grip Bent Flat Box Handle",5BBH,243.99,"Columbia 60"" 180-Grip Bent Box Handle allows for a full braking capability over the entire 180º angle span. Grips the axle with a tremendous amount of pressure to eliminates the possibility of slippage when dealing with difficult angle situations. As a result, this produces cleaner, quicker and more efficient application of joint compound. A very versatile design that provides the best possible braking at any angle. The bent handle design adds necessary leverage in all situations, and truly excels on butt-joints and headers. Extra strong billet aluminum design for years of rugged usage. Less moving parts mean less breakdowns. Everything you want in a box handle. Bent handle ergonomics combined with a standard 3/4"" tube - helps you achieve the perfect balance, and perfect finish with less effort. Features: Bent ergonomic design increases leverage and requires less effort to push Clamp style 180 brake is simple and more durable than pinch brakes Strong billet aluminum design with black anodizing, and laser engraving Additional braking, control, and range of motion versus competitor handles Compatible with all leading brand boxes (Excluding TapeWorm). 60"" 180-Grip Bent Box Handle is ideal for butt joints, headers and ceilings",Columbia Tools,canonical_brand_evidence,1.00,5bbh,5bbh,no,product_specific
Columbia,"Columbia 60"" 180-Grip Featherweight Flat Box Handle",5BH,221.71,"Al's Taping Tools has all the best Columbia tools. Shop the Columbia 60"" 180-Grip Featherweight Flat Box for greater versatility!",Columbia Tools,canonical_brand_evidence,1.00,5bh,5bh,no,product_specific
Columbia,"Columbia 60"" 180-Grip Flat Box Handle",5BH,221.99,"The New 60"" Feather Weight 180º handle allows for a full braking capability over the entire 180º angle span. Grips the axle with a tremendous amount of pressure to eliminate the possibility of slippage when dealing with difficult angle situations. As a result, this produces cleaner, quicker and more efficient application of joint compound. A very versatile design that provides the best possible braking at any angle. Extra strong billet aluminum design for years of rugged usage. Less moving parts mean less breakdowns. These handles feature strong billet aluminum design with black metal anodizing, and laser engraving. Everything you want in a box handle combined with a feather weight, large diameter (1 1/4"" diameter) tube - helps you achieve the perfect balance, and perfect finish. Features: Feather Weight - Lightest Box Handles Around Clamp style 180 brake is simple and more durable than pinch brakes Strong billet aluminum design with black anodizing, and laser engraving Feather weight large diameter (1.25in) tube design for perfect balance and desired pressure point Additional braking, control, and range of motion versus competitor handles Compatible with all leading brand boxes (Excluding TapeWorm). 60"" Feather Weight 180-Grip is ideal for headers, butt joints, and ceilings",Columbia Tools,canonical_brand_evidence,1.00,5bh,5bh,no,product_specific
Columbia,"Columbia 7"" Bead Wheel Axel Kit",FFBR-40-7,64.78,"Columbia 7"" Bead Wheel Axel Kit FFBR-40-7 This Axel Kit fits 7"" Columbia Flat Boxes",Columbia Tools,canonical_brand_evidence,1.00,ffbr-40-7,ffbr-40-7,no,product_specific
Columbia,"Columbia 7"" Fat Boy Smoothing Blade",FSB7,34.15,"Columbia 7"" Fat Boy Smoothing Blade The Columbia 7"" Fat Boy Smoothing Blade is a lightweight drywall finishing tool designed to deliver comfort, precision, and professional performance. Its compact 7-inch size provides excellent control for detailed smoothing, patching, and finishing work in smaller areas. A rubberized ergonomic grip offers secure handling and helps reduce hand strain during repeated use. The lightweight design makes the blade easy to maneuver, allowing drywall finishers to maintain consistent pressure while smoothing joint compound and correcting surface imperfections. The replaceable stainless-steel blade provides long-lasting durability and the flexibility needed to produce smooth, even finishes. Ideal for professional contractors and serious DIY users, the Columbia Fat Boy Smoothing Blade combines dependable performance with a comfortable, easy-to-control design. Features: 7-inch professional smoothing blade Lightweight design provides easy handling and maneuverability Rubberized ergonomic grip offers comfort and secure control Helps reduce hand strain during extended finishing work Replaceable stainless-steel blade Durable blade construction supports long-lasting use Flexible blade helps create smooth, even finishes Compact size is ideal for detailed finishing and smaller surfaces Suitable for smoothing joint compound and repairing imperfections Designed for professional drywall finishing and surface preparation",Columbia Tools,canonical_brand_evidence,1.00,fsb7,fsb7,no,product_specific
Columbia,"Columbia 7"" Flat Finishing Box",7FFB,378.99,"Columbia Taping Tools 7"" Hinged Drywall Flat Finisher Box features precision joint compound metering adjustment for top quality finish surfaces on drywall butt joints and flat seams. Integrated door axle and pressure plate system allows smooth, easy operation and quick access for easy cleanup! New, ultra-reliable door plate wiper resists expansion or deterioration, for long-term ease of operation and greater reliability. 7"" Hinged Drywall Flat Finisher Box by Columbia Taping Tools has a new improved wiper on the pressure plate, combined with a smooth pivoting hinge axle, making this one of the easiest drywall flat finisher boxes to operate when finishing drywall butt joints and flat seams. 7"" Hinged Flat Box by Columbia Taping Tools is an excellent choice for base coating tape seams. Hinged pressure plate and quick release tabs for extremely easy cleanup! 7"" Columbia Hinged Flat Box is excellent for applying base coat on drywall flat seams. ""Commercial Grade"" pressure plate wiper resists expansion or corrosion for easy operation and long service life. Aluminum wheels with o-ring tires are long lasting and smooth running. Compatible with all leading brands of flat box handles (except Tapeworm) Can be operated with or without pressure plate springs Smooth operation without door springs is possible due to reduced drag of Integrated Pressure Door Axle. 5-year Columbia Taping Tools Manufacturer's Warranty",Columbia Tools,canonical_brand_evidence,1.00,7ffb,7ffb,no,product_specific
Columbia,"Columbia 7"" Sabre Smoothing Blade",SSB7,25.99,"Columbia 7"" Sabre Smoothing Blade SSB7 Columbia designed the Sabre Smoothing Blades as a lighter, more affordable alternative to the premium Tomahawk Smoothing Blades. While the Tomahawk remains the top-tier option, the Sabre provides a cost-effective solution without sacrificing quality. The body profile is identical to the Tomahawk but constructed from high-quality plastic instead of billet aluminum. One of the most notable advantages of the Sabre Smoothing Blades is their weightâ€”approximately 60% lighter than the Tomahawkâ€”making them easier to handle and control. They are also about 40% more affordable, offering excellent value without compromise. Features: Compatible for hand use or with the Sabre Claw Adapter (SBC) for the Sabre Pole (SBP) each sold separately Hardened stainless steel blade for durability and abrasion resistance Rounded anti-trace edges to reduce marks and imperfections High-performance Bi-Flex technology with PVC plate for superior flexibility and control",Columbia Tools,canonical_brand_evidence,1.00,ssb7,ssb7,no,product_specific
Columbia,"Columbia 7"" ThrottleBox Angle Box",7CFB,313.64,"Columbia Angle Box-Corner Flusher Applicator 7"" is used with any brand of angle head to finish inside 90 degree corners. Buy from Al's Taping Tools today!",Columbia Tools,canonical_brand_evidence,1.00,7cfb,7cfb,no,product_specific
Columbia,"Columbia 7"" ThrottleBox Angle Box 7CFB",7CFB,313.99,"Columbia 7"" ThrottleBox Angle Box 7CFB Used with Corner Finisher (also called angle heads) attached to apply finishing coat to 90° internal angles. The Stainless steel cone dispenses proper amount of drywall compound smoothly and evenly. The hinged door allows for easy access and quick clean up. The long fill spout makes filling easier. For best results use with Columbia ONE Fiberglass/ Extendable Handle.(sold separately) Features: Specially Angled To Access Tight Corners. Dispenses Compound Smoothly And Evenly Long Fill Spout For Easy Filling. Stainless Steel Cone For Long Life. Hinged Door Easy Access. No Swell Gaskets. 50% Easier To Push Adjustable Tensions And No Air Pockets Made In North America",Columbia Tools,canonical_brand_evidence,1.00,7cfb,7cfb,no,product_specific
Columbia,"Columbia 7"" ThrottleBox with Extendable ONE Handle",COL50EXT,435.75,"Columbia 7"" ThrottleBox with Extendable ONE Handle Used with Corner Finisher (also called angle heads) attached to apply finishing coat to 90° internal angles. The ThrottleBox, Complete with Columbia Extendable ONE Handle, dispenses the proper amount of drywall compound smoothly and evenly through the Stainless Steel cone. The hinged door allows for easy access and quick clean up. The long fill spout makes filling easier. Columbia ONE Extendable Handle feature an ergonomic, thumb release trigger for smooth and easy changes. The durable aluminum pole design lasts longer than any standard fiberglass handle. Adjustable from 3' to 5' perfect for finishing those hard to reach high corners, as well as tight corners! Features: Specially Angled To Access Tight Corners. Dispenses Compound Smoothly And Evenly. Long Fill Spout For Easy Filling. Stainless Steel Cone For Long Life. Hinged Door Easy Access. No swell gaskets. No Swell Gaskets. 50% Easier To Push. Adjustable Tensions And No Air Pockets. Adjusts from 3' to 5' Reach-Line Quick Thumb Trigger Made In North America",Columbia Tools,canonical_brand_evidence,1.00,col50ext,col50ext,no,product_specific
Columbia,"Columbia 7"" Tomahawk Smoothing Blade",TSB-7,44.34,"Columbia 7"" Tomahawk Smoothing Blade.The Columbia Tomahawk set of Smoothing Blades is the most durable set on the market today. With no plastic pieces, the Tomahawk doesn't snap under pressure. And because the blades use a Flat Box handle, there are no p",Columbia Tools,canonical_brand_evidence,1.00,tsb-7,tsb-7,no,product_specific
Columbia,"Columbia 7"" Tomahawk Smoothing Blade",TSB-7,44.99,"Columbia 7"" Tomahawk Smoothing Blade Stability, Durability and Functionality, The Columbia Tomahawk Smoothing Blade offers the alternative to ""lack there of"". No plastic adapters, the Columbia Tomahawk attaches to any Columbia Flat Box handle or to the Columbia One Handle, with the Columbia Tomalock Adaptor CLTHA (Sold Separately). The professional grade, solid construction is ideal for use with larger blades and will not snap under pressure like other smoothing blades. Features: Works With A Flat Box Handle Interchangeable Blades Billet Machined For Durability No Plastic Parts Use With Columbia Tomalock Adaptor (Sold Separately)",Columbia Tools,canonical_brand_evidence,1.00,tsb-7,tsb-7,no,product_specific
Columbia,"Columbia 72"" 180-Grip Bent Flat Box Handle",6BBH,254.99,"Columbia 72"" 180-Grip Bent Box Handle allows for a full braking capability over the entire 180º angle span. Grips the axle with a tremendous amount of pressure to eliminates the possibility of slippage when dealing with difficult angle situations. As a result, this produces cleaner, quicker and more efficient application of joint compound. A very versatile design that provides the best possible braking at any angle. The bent handle design adds necessary leverage in all situations, and truly excels on butt-joints and headers. Extra strong billet aluminum design for years of rugged usage. Less moving parts mean less breakdowns. Everything you want in a box handle. Bent handle ergonomics combined with a standard 3/4"" tube - helps you achieve the perfect balance, and perfect finish with less effort. Features: Bent ergonomic design increases leverage and requires less effort to push Clamp style 180 brake is simple and more durable than pinch brakes Strong billet aluminum design with black anodizing, and laser engraving Additional braking, control, and range of motion versus competitor handles Compatible with all leading brand boxes (Excluding TapeWorm). 72"" 180-Grip Bent Box Handle is ideal for butt joints, headers and high ceilings",Columbia Tools,canonical_brand_evidence,1.00,6bbh,6bbh,no,product_specific
Columbia,"Columbia 72"" 180-Grip Featherweight Flat Box Handle",6BH,232.52,"Looking for the best Columbia Flat Box Handle on the market? The Columbia 72"" 180-Grip Featherweight Flat Box Handle is a great option. Shop Al's Taping Tools!",Columbia Tools,canonical_brand_evidence,1.00,6bh,6bh,no,product_specific
Columbia,"Columbia 72"" 180-Grip Flat Box Handle",6BH,232.99,"The New 72"" Feather Weight 180º handle allows for a full braking capability over the entire 180º angle span. Grips the axle with a tremendous amount of pressure to eliminate the possibility of slippage when dealing with difficult angle situations. As a result, this produces cleaner, quicker and more efficient application of joint compound. A very versatile design that provides the best possible braking at any angle. Extra strong billet aluminum design for years of rugged usage. Less moving parts mean less breakdowns. These handles feature strong billet aluminum design with black metal anodizing, and laser engraving. Everything you want in a box handle combined with a feather weight, large diameter (1 1/4"" diameter) tube - helps you achieve the perfect balance, and perfect finish. Features: Feather Weight - Lightest Box Handles Around Clamp style 180 brake is simple and more durable than pinch brakes Strong billet aluminum design with black anodizing, and laser engraving Feather weight large diameter (1.25in) tube design for perfect balance and desired pressure point Additional braking, control, and range of motion versus competitor handles Compatible with all leading brand boxes (Excluding TapeWorm). 72"" Feather Weight 180-Grip is ideal for high work, butt joints, and ceilings",Columbia Tools,canonical_brand_evidence,1.00,6bh,6bh,no,product_specific
Columbia,"Columbia 8"" and 10"" Flat Box Combo",Gctboxset8/10,1999,"The Columbia Box Set is a great choice for drywall professionals that want to speed up production finishing flats. Shop the 8"" and 1"" size boxes from Al's today!",Columbia Tools,canonical_brand_evidence,1.00,gctboxset8/10,gctboxset8/10,no,product_specific
Columbia,"Columbia 8"" Automatic Assist Drywall Flat Box",8FFBA,421.99,"Columbia Taping Tools 8"" Automatic Assist Drywall Flat Finisher Box features precision joint compound metering adjustment for top quality finish surfaces on drywall butt joints and flat seams. Integrated door axle and pressure plate system allows smooth, easy operation and quick access for easy cleanup! New, ultra-reliable door plate wiper resists expansion or deterioration, for long-term ease of operation and greater reliability. 8"" Automatic Assist Drywall Flat Finisher Box by Columbia Taping Tools has a new and improved spring pressure assist that requires far less manual pushing to dispense compound. Save time and reduce fatigue by letting the tool do more of the work. Spring assisted with an improved wiper on the pressure plate, combined with a smooth pivoting hinge axle, making this one of the easiest drywall flat finisher boxes to operate. Columbia features a handy finger pull on the pressure door that makes fill-ups quicker and easier Columbia 8"" Automatic Assist Drywall Flat Box Hinged pressure plate that is spring assisted - making finishing far less fatiguing. ""Commercial Grade"" pressure plate wiper resists expansion or corrosion for easy operation and long service life. Aluminum wheels with o-ring tires are long lasting and smooth running. Compatible with all leading brands of flat box handles (except Tapeworm) 5-year Columbia Taping Tools Manufacturer's Warranty",Columbia Tools,canonical_brand_evidence,1.00,8ffba,8ffba,no,product_specific
Columbia,"Columbia 8"" Bead Wheel Axel Kit",FFBR-40-8,64.99,"Columbia 8"" Bead Wheel Axel Kit FFBR-40-8 This Axel Kit fits 8"" Columbia Flat Boxes",Columbia Tools,canonical_brand_evidence,1.00,ffbr-40-8,ffbr-40-8,no,product_specific
Columbia,"Columbia 8"" Comfort Grip Putty Knife",CGPK8,16.48,"Columbia 8"" Comfort Grip Putty Knife The Columbia 8"" Comfort Grip Putty Knife is designed for professional drywall finishing, patching, and repair work. Its versatile 8-inch blade provides efficient surface coverage while maintaining the control needed to apply, spread, and feather joint compound smoothly. The high-quality stainless-steel blade delivers the flexibility required for clean, consistent finishes and the durability expected for everyday professional use. Its corrosion-resistant construction supports long-lasting performance and makes the blade easier to clean and maintain between jobs. A rubberized Comfort Grip handle provides a secure, comfortable hold for maximum control throughout the workday. The ergonomic design helps reduce hand fatigue during repeated finishing passes, making this Columbia putty knife a dependable choice for drywall contractors, painters, remodelers, and other construction professionals. Features 8-inch professional putty knife Versatile blade width provides efficient coverage and control High-quality stainless-steel blade offers flexibility and durability Corrosion-resistant construction supports long-lasting use Flexible blade helps spread, smooth, and feather joint compound Rubberized Comfort Grip handle provides maximum control Ergonomic design helps reduce hand fatigue during extended use Ideal for drywall seams, patches, repairs, and surface preparation Suitable for joint compound, spackle, and other patching materials Designed for professional drywall finishing and remodeling work",Columbia Tools,canonical_brand_evidence,1.00,cgpk8,cgpk8,no,product_specific
Columbia,"Columbia 8"" Comfort Grip Taping Knife",CTK8,14.99,"Columbia 8"" Comfort Grip Taping Knife The Columbia 8"" Comfort Grip Taping Knife is built for professional drywall finishers who demand speed, precision, and lasting comfort on every job. Its versatile 8-inch blade is ideal for applying, smoothing, and feathering joint compound, making it an excellent choice for finishing seams, patching repairs, and preparing walls for paint. The premium stainless-steel blade provides the perfect balance of flexibility and durability for creating smooth, consistent finishes. Its corrosion-resistant construction stands up to daily jobsite use while maintaining clean edges and dependable performance project after project. Designed specifically for professionals, the rubberized Comfort Grip handle is ergonomically shaped to maximize control while reducing hand fatigue during extended use. Whether you're taping drywall, finishing joints, or performing repair work, the Columbia 8"" Comfort Grip Taping Knife delivers the performance and reliability needed for flawless results. Features: 8-inch professional taping knife Premium stainless-steel blade offers flexibility and durability Corrosion-resistant blade for long-lasting performance Ideal for applying, smoothing, and feathering joint compound Rubberized Comfort Grip handle provides superior comfort and control Ergonomic handle design helps reduce hand fatigue Excellent for finishing seams, patching, and drywall repairs Creates smooth, professional-quality finishes Built for everyday jobsite use Designed for professional drywall contractors and finishers",Columbia Tools,canonical_brand_evidence,1.00,ctk8,ctk8,no,product_specific
Columbia,"Columbia 8"" Drywall Flat Finisher Box",8FFB,389.34,Columbia Drywall Taping Tools 8” Hinged Flat Box is the perfect sized box for base coating tape seams. Shop top Columbia products from Al's Taping Tools!,Columbia Tools,canonical_brand_evidence,1.00,8ffb,8ffb,no,product_specific
Columbia,"Columbia 8"" Fat Boy Automatic Assist Drywall Flat Box",8FBBA,481.27,,Columbia Tools,canonical_brand_evidence,1.00,8fbba,8fbba,no,quarantined_storefront_boilerplate
Columbia,"Columbia 8"" Fat Boy Automatic Assist Drywall Flat Box",8FBBA,481.99,"Columbia Taping Tools 8"" Fat Boy Automatic Assist Drywall Flat Finisher Box has the highest capacity available in similar sized assisted boxes. Finish easier, and go longer with the Fat-Boy automatic assist boxes. Columbia Fat Boy Automatic boxes feature precision joint compound metering adjustment for top quality finish surfaces on drywall butt joints and flat seams. Integrated door axle and pressure plate system allows smooth, easy operation and quick access for easy cleanup! New, ultra-reliable door plate wiper resists expansion or deterioration, for long-term ease of operation and greater reliability. 8"" Fat Boy Automatic Assist Drywall Flat Finisher Box by Columbia Taping Tools has a new and improved spring pressure assist that requires far less manual pushing to dispense compound. Save time and reduce fatigue by letting the tool do more of the work. Spring assisted with an improved wiper on the pressure plate, combined with a smooth pivoting hinge axle, making this one of the easiest drywall flat finisher boxes to operate. Columbia features a handy finger pull on the pressure door that makes fill-ups quicker and easier Columbia 8"" Automatic Assist Drywall Flat Box Hinged pressure plate that is spring assisted - making finishing far less fatiguing. Higher capacity means longer runs, greater productivity, and more $ ""Commercial Grade"" pressure plate wiper resists expansion or corrosion for easy operation and long service life. Aluminum wheels with o-ring tires are long lasting and smooth running. Compatible with all leading brands of flat box handles (except Tapeworm) 5-year Columbia Taping Tools Manufacturer's Warranty",Columbia Tools,canonical_brand_evidence,1.00,8fbba,8fbba,no,product_specific
Columbia,"Columbia 8"" Fat Boy Drywall Flat Finishing Box",8FBB,443.42,"Fat Boy boxes by Columbia hold more mud than standard flat finish boxes, and also clean easier w/ it's hinged door. The boxes work w/ most brands of pumps. Buy now!",Columbia Tools,canonical_brand_evidence,1.00,8fbb,8fbb,no,product_specific
Columbia,"Columbia 8"" Fat Boy Flat Box",8FBB,443.99,"8"" Fat Boy Flat Finisher Box by Columbia Taping Tools high capacity holds 30% more mud compound than standard flat box, for less trips back to the loading pump. 8"" Columbia Fat Boy box quick clean feature allows convenient access to clean without removing pressure plate. Columbia Taping Tools Fat Boy flat finisher boxes are compatible with all leading brands of drywall flat box finisher brake handles. 8"" Fat Boy box is excellent for applying base coat of mud to drywall flat seams and butt joints, as well as first coat on cornerbead. Columbia Fat Boy boxes can be run with or without springs, due to combined axle and door plate design. New ""Commercial Grade"" rubber wiper resists corrosion or expansion for long, reliable service life. Columbia Fat Boys are extremely popular high capacity, top performance drywall flat finishers, and are a great choice for professional drywallers or contractors who prefer the high volume style. Columbia 8"" Fat Boy box is excellent for first coats on drywall flat seams, butt joints or corner bead. Quick, easy cleanup is possible without disassembly- no more disconnected door plates to re-position after cleaning! Operate smoothly with or without springs, due to new combined pivot axle and door plate design. Fat Boy box pivoting axle smoothly follows wall and ceiling contours for best possible drywall butt joint and flat seam finishing. Increase production and profits due additional 30% capacity for fewer trips to the pump for refilling. Top quality anodized finish aluminum avoids corrosion and increases reliable service time. Fits all leading drywall flat finisher box handles. 5-Year Columbia Taping Tool Manufacturer's Warranty",Columbia Tools,canonical_brand_evidence,1.00,8fbb,8fbb,no,product_specific
Columbia,"Columbia 8"" Flat Finishing Box",8FFB,389.99,"Columbia Taping Tools 8"" Hinged Drywall Flat Finisher Box features precision joint compound metering adjustment for top quality finish surfaces on drywall butt joints and flat seams. Integrated door axle and pressure plate system allows smooth, easy operation and quick access for easy cleanup! New, ultra-reliable door plate wiper resists expansion or deterioration, for long-term ease of operation and greater reliability. 8"" Hinged Drywall Flat Finisher Box by Columbia Taping Tools has a new improved wiper on the pressure plate, combined with a smooth pivoting hinge axle, making this one of the easiest drywall flat finisher boxes to operate when finishing drywall butt joints and flat seams. 8"" Hinged Flat Box by Columbia Taping Tools is an excellent choice for base coating tape seams. Hinged pressure plate and quick release tabs for extremely easy cleanup! 8"" Columbia Hinged Flat Box is excellent for applying base coat on drywall flat seams. ""Commercial Grade"" pressure plate wiper resists expansion or corrosion for easy operation and long service life. Aluminum wheels with o-ring tires are long lasting and smooth running. Compatible with all leading brands of flat box handles (except Tapeworm) Can be operated with or without pressure plate springs Smooth operation without door springs is possible due to reduced drag of Integrated Pressure Door Axle. 5-year Columbia Taping Tools Manufacturer's Warranty",Columbia Tools,canonical_brand_evidence,1.00,8ffb,8ffb,no,product_specific
