DTB Row,DTB Product Type,DTB Parent SKU,DTB SKU,DTB Brand,DTB Product,DTB Effective Price,DTB Price Basis,DTB Price Warnings,Verified Competitor Count,Distinct Verified Prices,Market Price Status,Market Price,Market Price Evidence Count,Observed Price Spread,DTB vs Market Price,DTB vs Market Price %,Review Candidate Count,Recommended Review Status,Approved Alias Evidence Count,All-Wall Verified,All-Wall Identity,All-Wall SKU,All-Wall Product,All-Wall Price,All-Wall Duplicate Count,All-Wall Observed Duplicate Prices,All-Wall Evidence Quality,Al's Taping Tools Verified,Al's Taping Tools Identity,Al's Taping Tools SKU,Al's Taping Tools Product,Al's Taping Tools Price,Al's Taping Tools Duplicate Count,Al's Taping Tools Observed Duplicate Prices,Al's Taping Tools Evidence Quality,Wall Tools Verified,Wall Tools Identity,Wall Tools SKU,Wall Tools Product,Wall Tools Price,Wall Tools Duplicate Count,Wall Tools Observed Duplicate Prices,Wall Tools Evidence Quality
176,simple,,FA213,Columbia Tools,"4-40 x 1/4"" Binder Slot",1.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::fa213,FA213,"Columbia 4-40 x 1/4"" Binder Slot (Pan Head Screw) (COLM-FA213)",0.55,0,0.55,verified_exact_identity
177,simple,,FA214,Columbia Tools,"4-40 x 1/4"" Flat Slot",1.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::fa214,FA214,Columbia 4-40 x 1/4 Flat Slot (COLM-FA214),0.55,0,0.55,verified_exact_identity
178,simple,,FA2,Columbia Tools,"4-40 x 1/8"" Binder Slot",1.65,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::fa208,FA208,Columbia 4-40 x 1/8 Binder Slot (COLM-FA208),0.55,0,0.55,verified_exact_identity
179,simple,,FA210,Columbia Tools,"4-40 x 3/16"" Binder Slot",1.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::fa210,FA210,Columbia 4-40 x 3/16 Binder Slot (Pan Head Screw) (COLM-FA210),0.55,0,0.55,verified_exact_identity
180,simple,,FA212,Columbia Tools,"4-40 x 3/16"" Truss Slot",1.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::fa212,FA212,Columbia 4-40 x 3/16 Truss Slot (COLM-FA212),0.55,0,0.55,verified_exact_identity
181,simple,,FA220,Columbia Tools,"4-40 x 3/4"" Hex Bolt",2.35,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,2,Single-Source Evidence + Review Candidates,0,no,columbia::fa220,FA220,FA220 Columbia 4-40 X 3/4in Bind Head Screw #6006,,0,,review_only,no,,FA220,4-40 X 3/4in Bind Head Screw - FA220,,0,,review_only,yes,columbia::fa220,FA220,Columbia 4-40 x 3/4 Binder Slot (COLM-FA220),0.55,0,0.55,verified_exact_identity
182,simple,,FA218,Columbia Tools,"4-40 x 3/8"" Flat Slot",1.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::fa218,FA218,Columbia 4-40 x 3/8 Flat Slot (COLM-FA218),0.55,0,0.55,verified_exact_identity
183,simple,,FA216,Columbia Tools,4-40 X 3/8” Fillister Slot,2.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::fa216,FA216,Columbia 4-40 x 3/8” Fillister Slot (COLM-FA216),0.55,0,0.55,verified_exact_identity
184,simple,,FA215,Columbia Tools,"4-40 x 5/16"" Binder Slot",1.95,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::fa215,FA215,Columbia 4-40 x 5/16 Binder Slot (Pan Head Screw) (COLM-FA215),0.55,0,0.55,verified_exact_identity
185,simple,,FA303,Columbia Tools,5-16 Flat Washer,3.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,1,Single-Source Evidence + Review Candidates,0,no,,FA304,5/16 Flat Washer,,0,,review_only,no,,,,,0,,,yes,columbia::fa303,FA303,Columbia 5/16 Flat Washer (COLM-FA303),2.71,0,2.71,verified_exact_identity
186,simple,,FA307,Columbia Tools,5-16 x 24 Jam Nut,3.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::fa307,FA307,Columbia 5/16 x 24 Jam Nut (COLM-FA307),1.48,0,1.48,verified_exact_identity
187,simple,,FA305,Columbia Tools,"5/16 -18 x 3/4"" Hex Bolt",4.15,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.94,,,0,Price Conflict - Review Required,0,yes,columbia::fa305,FA305,FA305 Columbia 5/16-18 X 3/4in Hex Bolt #6053,3.65,0,3.65,verified_exact_identity,no,,,,,0,,,yes,columbia::fa305,FA305,Columbia 5/16-18 x 3/4 Hex Bolt (COLM-FA305),2.71,0,2.71,verified_exact_identity
188,simple,,FA306,Columbia Tools,"5/16-18 x 1 1/4"" Hex Bolt",3.45,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.77,,,0,Price Conflict - Review Required,0,yes,columbia::fa306,FA306,FA306 Columbia 5/16-18 X 1-1/4in Hex Bolt #6054,3.48,0,3.48,verified_exact_identity,no,,,,,0,,,yes,columbia::fa306,FA306,Columbia 5/16-18 x 1-1/4 Hex Bolt (COLM-FA306),2.71,0,2.71,verified_exact_identity
189,simple,,CFB10,Columbia Tools,"5/16-18 x 3/4"" Thumb Screw",6.00,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,2.14,,,0,Price Conflict - Review Required,0,yes,columbia::cfb10,CFB10,CFB10 Columbia Angle Box 5/16-18 X 3/4in Thumb Screw #5550,7.30,0,7.30,verified_exact_identity,no,,,,,0,,,yes,columbia::cfb10,CFB10,"Columbia 5/16""-18"" x 3/4"" Thumb Screw (COLM-CFB10)",5.16,0,5.16,verified_exact_identity
190,simple,,FA317,Columbia Tools,"5/32"" x 7/8"" Roll Pin",2.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,yes,columbia::fa317,FA317,13722,2.10,0,2.10,verified_exact_identity,no,,,,,0,,,no,,,,,0,,
192,simple,,FA232,Columbia Tools,6-32 Hex Nut,1.75,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.62,,,0,Price Conflict - Review Required,0,yes,columbia::fa232,FA232,FA232 Columbia 6-32 Hex Nut #6012,2.10,0,2.10,verified_exact_identity,no,,,,,0,,,yes,columbia::fa232,FA232,Columbia 6-32 Hex Nut (COLM-FA232),1.48,0,1.48,verified_exact_identity
193,simple,,FA234,Columbia Tools,6-32 Nyloc Jam Nut,2.65,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.53,,,0,Price Conflict - Review Required,0,yes,columbia::fa234,FA234,FA234 Columbia 6-32 Nyloc Jam Nut #6014,1.85,0,1.85,verified_exact_identity,no,,,,,0,,,yes,columbia::fa234,FA234,Columbia 6-32 Nyloc Jam Nut (COLM-FA234),1.32,0,1.32,verified_exact_identity
194,simple,,FA233,Columbia Tools,6-32 Nyloc Nut,2.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::fa233,FA233,Columbia 6-32 Nyloc Nut (COLM-FA233),1.48,0,1.48,verified_exact_identity
195,simple,,FA245,Columbia Tools,"6-32 x 1/2"" Fillister Slot",2.15,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.34,,,0,Price Conflict - Review Required,0,yes,columbia::fa245,FA245,FA245 Columbia 6-32 X 1/2in Fill. Head Screw #6017,1.05,0,1.05,verified_exact_identity,no,,,,,0,,,yes,columbia::fa245,FA245,Columbia 6-32 x 1/2 Fillister Slot (COLM-FA245),0.71,0,0.71,verified_exact_identity
196,simple,,FA244,Columbia Tools,"6-32 x 1/2"" Pan Slot",1.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::fa244,FA244,Columbia 6-32 x  1/2 Binder Slot (COLM-FA244),0.55,0,0.55,verified_exact_identity
197,variation,FFB11,FFB11-8,Columbia Tools,"Adjuster Spring - 8""",8.00,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,2.94,,,0,Price Conflict - Review Required,0,yes,columbia::ffb11-8,FFB11-8,"FFB11-8 Columbia Flat Box Adjuster Spring 8""",10.05,0,10.05,verified_exact_identity,no,,,,,0,,,yes,columbia::ffb11-8,FFB11-8,"Columbia Flat Box Adjuster Spring 8"" (COLM-FFB11-8)",7.11,0,7.11,verified_exact_identity
198,variation,FFB11,FFB11-10,Columbia Tools,"Adjuster Spring - 10""",8.00,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,2.94,,,0,Price Conflict - Review Required,0,yes,columbia::ffb11-10,FFB11-10,"FFB11-10 Columbia Flat Box Adjuster Spring 10""",10.05,0,10.05,verified_exact_identity,no,,,,,0,,,yes,columbia::ffb11-10,FFB11-10,"Columbia Flat Box Adjuster Spring 7"",8"", or 10"" (COLM-FFB11-10)",7.11,0,7.11,verified_exact_identity
199,variation,FFB11,FFB11-12,Columbia Tools,"Adjuster Spring - 12""",8.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,1,Single-Source Evidence + Review Candidates,0,no,columbia::ffb11-12,FFB11-12,"COLFFB11-12 Columbia  12"" Flat Box Adjuster Spring",,0,,review_only,no,,,,,0,,,yes,columbia::ffb11-12,FFB11-12,"Columbia Flat Box Adjuster Spring 12"" (COLM-FFB11-12)",7.11,0,7.11,verified_exact_identity
200,simple,,FA239,Columbia Tools,"6-32 X 1/4"" Binder Slot",1.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::fa239,FA239,Columbia 6-32 x 1/4 Binder Slot (Pan Head Screw) (COLM-FA239),0.55,0,0.55,verified_exact_identity
201,simple,,FA227,Columbia Tools,"6-32 X 1/4"" Flat Slot",2.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::fa227,FA227,Columbia 6-32 x ¼” Flat Slot Screw (COLM-FA227),1.48,0,1.48,verified_exact_identity
202,simple,,FA236,Columbia Tools,"6-32 X 1/8"" Binder Slot",1.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,yes,columbia::fa236,FA236,13828,1.05,0,1.05,verified_exact_identity,no,,,,,0,,,no,,,,,0,,
203,simple,,FA235,Columbia Tools,"6-32 X 1/8"" Set Screw",2.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::fa235,FA235,Columbia 6/32 x 1/8” Set Screw (COLM-FA235),1.11,0,1.11,verified_exact_identity
204,simple,,FA237,Columbia Tools,"6-32 x 3/16"" Binder Slot",1.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::fa237,FA237,Columbia 6/32 x 3/16” Binder Slot (COLM-FA237),0.55,0,0.55,verified_exact_identity
205,simple,,FA238,Columbia Tools,"6-32 X 3/16"" Fillister Slot",2.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::fa238,FA238,Columbia 6-32 x 3/16 Fillister Slot (COLM-FA238),1.16,0,1.16,verified_exact_identity
206,simple,,FA241,Columbia Tools,"6-32 X 3/8"" Binder Slot",1.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::fa241,FA241,Columbia 6-32 x 3/8 Binder Slot (Pan Head Screw) (COLM-FA241),0.55,0,0.55,verified_exact_identity
207,simple,,FA243,Columbia Tools,"6-32 x 3/8"" Flat Slot",1.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::fa243,FA243,Columbia 6-32 x 3/8 Pan Slot (COLM-FA243),0.55,0,0.55,verified_exact_identity
208,simple,,FA231,Columbia Tools,"6-32 x 3/8"" Hex Bolt",2.25,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.49,,,0,Price Conflict - Review Required,0,yes,columbia::fa231,FA231,"Columbia #6 X 3/8"" Hex Bolt COLFA231",1.55,0,1.55,verified_exact_identity,no,,,,,0,,,yes,columbia::fa231,FA231,Columbia 6-32 x 3/8 in. Hex Bolt (COLM-FA231),1.06,0,1.06,verified_exact_identity
209,simple,,FA247,Columbia Tools,"6-32 X 5/8"" Hex Bolt",2.45,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.61,,,1,Price Conflict - Review Required,0,yes,columbia::fa247,FA247,FA247 Columbia 6-32 X 5/8in Hex Bolt #6018,1.95,0,1.95,verified_exact_identity,no,tapetech::fa247,fa247,6-32 X 5/8in Hex Bolt - FA247,,0,,review_only,yes,columbia::fa247,FA247,Columbia 6-32 x 5/8 in. Hex Bolt (COLM-FA247),1.34,0,1.34,verified_exact_identity
210,simple,,FA254,Columbia Tools,8-32 Nyloc Nut,2.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::fa254,FA254,Columbia 8-32 Nyloc Nut (COLM-FA254),1.48,0,1.48,verified_exact_identity
211,simple,,FA267,Columbia Tools,"8-32 x 1 1/2"" Pan Slot",2.85,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.36,,,0,Price Conflict - Review Required,0,yes,columbia::fa267,FA267,FA267 Columbia 8-32 X 1.5in Pan Head Screw #6027,1.05,0,1.05,verified_exact_identity,no,,,,,0,,,yes,columbia::fa267,FA267,Columbia 8-32 x 1-1/2 Pan Head (COLM-FA267),0.69,0,0.69,verified_exact_identity
212,simple,,FA262,Columbia Tools,"8-32 x 1/2"" Socket",2.95,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.01,,,0,Price Conflict - Review Required,0,yes,columbia::fa262,FA262,"8-32 X 1/2"" Socket Hd. Screw",1.86,0,1.86,verified_exact_identity,no,,,,,0,,,yes,columbia::fa262,FA262,Columbia 8-32 x ½ in. Socket (COLM-FA262),1.85,0,1.85,verified_exact_identity
213,simple,,FA257,Columbia Tools,"8-32 x 1/4"" Fillister Slot",1.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::fa257,FA257,Columbia 8-32 x 1/4 Fillister Slot (COLM-FA257),0.55,0,0.55,verified_exact_identity
214,simple,,FA256,Columbia Tools,"8-32 X 3/16"" Pan Slot",2.15,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,1,Single-Source Evidence + Review Candidates,0,no,columbia::fa256,FA256,"COLFA256 8-32 x 3/16"" Pan Slot",,0,,review_only,no,,,,,0,,,yes,columbia::fa256,FA256,Columbia 8/32 x 3/16 in. Pan Slot Screw (COLM-FA256),0.55,0,0.55,verified_exact_identity
215,simple,,FA265,Columbia Tools,"8-32 x 3/4"" Truss Slot",1.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::fa265,FA265,Columbia 8-32 x 3/4 Truss Slot (COLM-FA265),0.55,0,0.55,verified_exact_identity
216,simple,,FA260,Columbia Tools,"8-32 x 3/8"" Pan Slot",1.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::fa260,FA260,Columbia 8-32 x 3/8 in. Binder Slot Screw (COLM-FA260),0.55,0,0.55,verified_exact_identity
217,simple,,FA261,Columbia Tools,"8-32 X 3/8"" Socket Screw",2.75,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.52,,,0,Price Conflict - Review Required,0,yes,columbia::fa261,FA261,"8-32 X 3/8"" Socket Hd Screw",1.21,0,1.21,verified_exact_identity,no,,,,,0,,,yes,columbia::fa261,FA261,Columbia 8-32 x 3/8 in. Socket Screw (COLM-FA261),0.69,0,0.69,verified_exact_identity
218,simple,,FA376,Columbia Tools,8-32 x 5/16 SS Socket Head,2.00,regular_price,,0,0,NO_MARKET_EVIDENCE,,0,,,,0,No Market Evidence,0,no,,,,,0,,,no,,,,,0,,,no,,,,,0,,
219,simple,,FA264,Columbia Tools,"8-32 x 5/8"" Truss Slot",1.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::fa264,FA264,Columbia 8-32 x 5/8 Truss Slot (COLM-FA264),0.69,0,0.69,verified_exact_identity
220,simple,,FA258,Columbia Tools,8-32X 1/4 Half Dog Set,2.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::fa258,FA258,Columbia 8-32 x 1/4 Half Dog Set (COLM-FA258),1.48,0,1.48,verified_exact_identity
223,simple,,FA249,Columbia Tools,"8-32X3/16"" Set Screw",2.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::fa249,FA249,Columbia 8-32 x 3/16 in. Set Screw (COLM-FA249),1.48,0,1.48,verified_exact_identity
224,variation,FFB5,FFB5-7,Columbia Tools,"Axle - 7""",44.00,regular_price,,0,0,NO_MARKET_EVIDENCE,,0,,,,0,No Market Evidence,0,no,,,,,0,,,no,,,,,0,,,no,,,,,0,,
225,variation,FFB5,FFB5-8,Columbia Tools,"Axle - 8""",44.00,regular_price,,0,0,NO_MARKET_EVIDENCE,,0,,,,0,No Market Evidence,0,no,,,,,0,,,no,,,,,0,,,no,,,,,0,,
226,variation,FFB5,FFB5-10,Columbia Tools,"Axle - 10""",44.00,regular_price,,0,0,NO_MARKET_EVIDENCE,,0,,,,0,No Market Evidence,0,no,,,,,0,,,no,,,,,0,,,no,,,,,0,,
227,variation,FFB5,FFB5-12,Columbia Tools,"Axle - 12""",44.00,regular_price,,0,0,NO_MARKET_EVIDENCE,,0,,,,0,No Market Evidence,0,no,,,,,0,,,no,,,,,0,,,no,,,,,0,,
228,variation,FFB5,FFB5-14,Columbia Tools,"Axle - 14""",44.00,regular_price,,0,0,NO_MARKET_EVIDENCE,,0,,,,0,No Market Evidence,0,no,,,,,0,,,no,,,,,0,,,no,,,,,0,,
229,variation,FFB9,FFB9-5.5,Columbia Tools,"Blade - 5.5""",18.75,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,1.56,,,0,Price Conflict - Review Required,0,yes,columbia::ffb9-5.5,FFB9-5.5,FFB9-5.5 Columbia Flat Box Blade 5.5in #13783,4.70,0,4.70,verified_exact_identity,yes,columbia::ffb9-5.5,ffb9-5.5,"Columbia Flat Box Blade 5.5"" - FFB9-5.5",3.14,0,3.14,verified_exact_identity,no,,,,,0,,
230,variation,FFB9,FFB9-7,Columbia Tools,"Blade - 7""",22.50,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,300.42,,,0,Price Conflict - Review Required,0,yes,columbia::ffb9-7,FFB9-7,FFB9-7 Columbia Flat Box Blade 7in #6082,4.58,0,4.58,verified_exact_identity,yes,columbia::ffb9-7,FFB9-7,"Columbia Flat Box Blade 7"" - FFB9-7",305.00,0,305.00,verified_exact_identity,no,,,,,0,,
232,variation,FFB9,FFB9-8,Columbia Tools,"Blade - 8""",24.95,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,300.30,,,0,Price Conflict - Review Required,0,yes,columbia::ffb9-8,FFB9-8,FFB9-8 Columbia Flat Box Blade 8in #6083,4.70,0,4.70,verified_exact_identity,yes,columbia::ffb9-8,FFB9-8,"Columbia Flat Box Blade 8"" - FFB9-8",305.00,0,305.00,verified_exact_identity,no,,,,,0,,
233,variation,FFB9,FFB9-10,Columbia Tools,"Blade - 10""",28.95,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,yes,columbia::ffb9-10,FFB9-10,"Columbia Flat Box Blade 10"" - FFB9-10",4.15,0,4.15,verified_exact_identity,no,,,,,0,,
234,variation,FFB9,FFB9-12,Columbia Tools,"Blade - 12""",32.50,regular_price,,0,0,NO_MARKET_EVIDENCE,,0,,,,1,Identity Review Required,0,no,,,,,0,,,no,tapetech::ffb9-12,FFB9-12,"Columbia Flat Box Blade 12"" - FFB9-12",,0,,review_only,no,,,,,0,,
235,variation,FFB9,FFB9-14,Columbia Tools,"Blade - 14""",36.95,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,1,Single-Source Evidence + Review Candidates,0,yes,columbia::ffb9-14,FFB9-14,FFB9-14 Columbia Flat Box Blade 14 in #13784,7.38,0,7.38,verified_exact_identity,no,tapetech::ffb9-14,FFB9-14,"Columbia Flat Box Blade 14"" - FFB9-14",,0,,review_only,no,,,,,0,,
236,variation,HNS7,HNS7-2,Columbia Tools,"Blade - 2""",23.00,regular_price,,0,0,NO_MARKET_EVIDENCE,,0,,,,1,Identity Review Required,0,no,columbia::hns7-2,HNS7-2,NS7-2 Columbia Nail Spotter 2in Nail Spotter Blade #5889,,0,,review_only,no,,,,,0,,,no,,,,,0,,
237,variation,HNS7,HNS7-3,Columbia Tools,"Blade - 3""",23.00,regular_price,,0,0,NO_MARKET_EVIDENCE,,0,,,,1,Identity Review Required,0,no,columbia::hns7-3,HNS7-3,NS7-3 Columbia Nail Spotter 3in Nail Spotter Blade #5890,,0,,review_only,no,,,,,0,,,no,,,,,0,,
238,simple,,FFB5A,Columbia Tools,Axel Bushing,3.00,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,1.11,,,0,Price Conflict - Review Required,0,yes,columbia::ffb5a,FFB5A,FFB5A Columbia Flat Box Axle Bushing #6114,3.78,0,3.78,verified_exact_identity,no,,,,,0,,,yes,columbia::ffb5a,FFB5A,Columbia Axle Bushing (COLM-FFB5A),2.67,0,2.67,verified_exact_identity
239,simple,,MP32,Columbia Tools,Backing Washer Locator,18.95,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.89,,,0,Price Conflict - Review Required,0,yes,columbia::mp32,MP32,MP32 Columbia Mud Pump Backing Washer Locator #5876,2.85,0,2.85,verified_exact_identity,no,,,,,0,,,yes,columbia::mp32,MP32,Columbia Backing Washer Locator (COLM-MP32),1.96,0,1.96,verified_exact_identity
240,simple,,FFB8,Columbia Tools,Bar Retainer Clip,2.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::ffb8,FFB8,Columbia Bar Retainer Clip (COLM-FFB8),1.96,0,1.96,verified_exact_identity
243,simple,,CT103,Columbia Tools,Barrel- Main Body,114.11,regular_price,,3,3,MARKET_PRICE_CONFLICT,,0,121.76,,,0,Price Conflict - Review Required,1,yes,columbia::ct103,CT103,CT103 Columbia Taper Barrel Main Body #5963,150.64,0,150.64,verified_exact_identity,yes,columbia::ct103,CT-103,Taper Barrel Main Body - CT103,251.06,0,251.06,verified_exact_identity,yes,columbia::ct103,CT103,Columbia Barrel (Main Aluminium Tube Body) (COLM-CT103),129.30,0,129.30,verified_exact_identity
244,simple,,CT125A,Columbia Tools,Bearing,19.95,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,1.35,,,0,Price Conflict - Review Required,0,yes,columbia::ct125a,CT125A,CT125A Columbia Taper Bearing #5986,4.58,0,4.58,verified_exact_identity,no,,,,,0,,,yes,columbia::ct125a,CT125A,Columbia Hand Grip Roller Sleeve (COLM-CT125A),3.23,0,3.23,verified_exact_identity
245,simple,,BH24A,Columbia Tools,Bearing Sleeve,4.00,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,no,,,,,0,,,no,,,,,0,,,yes,columbia::bh24a,BH24A,Columbia Bearing Sleeve for 180 Grip Flat Box Handle (COLM-BH24A),3.83,0,3.83,verified_exact_identity
246,simple,,CFB16,Columbia Tools,Bearing Sleeve,18.75,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,2.13,,,1,Price Conflict - Review Required,0,yes,columbia::cfb16,CFB16,CFB16 Columbia Angle Box Bearing Sleeve - Ss #5554,7.28,0,7.28,verified_exact_identity,no,,CFB16,Angle Box Bearing Sleeve - CFB16,,0,,review_only,yes,columbia::cfb16,CFB16,Columbia Bearing Sleeve (COLM-CFB16),5.15,0,5.15,verified_exact_identity
247,simple,,CR-3,Columbia Tools,Bearing Sleeve,19.99,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,2.97,,,1,Price Conflict - Review Required,0,yes,columbia::cr3,CR3,CR3 Columbia Corner Roller Bearing Sleeve #5563,9.45,0,9.45,verified_exact_identity,no,,CR3,Marshalltown 3 Inch Corner Roller for Drywall Mud and Paint Application,,0,,review_only,yes,columbia::cr3,CR3,Columbia Bearing Sleeve (COLM-CR3),6.48,0,6.48,verified_exact_identity
248,variation,HNS8,HNS8-2,Columbia Tools,"Blade Holder - 2""",33.00,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,5.45,,,0,Price Conflict - Review Required,0,yes,columbia::hns8-2,"HNS8-2""",HNS8-2 Columbia Nail Spotter Blade Holder 2in #12527,38.44,0,38.44,verified_exact_identity,no,,,,,0,,,yes,columbia::hns8-2,HNS8-2,Columbia Blade Holder for 2 in. Hinged Nail Spotter (COLM-HNS8-2),32.99,0,32.99,verified_exact_identity
249,variation,HNS8,HNS8-3,Columbia Tools,"Blade Holder - 3""",33.00,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,5.45,,,0,Price Conflict - Review Required,0,yes,columbia::hns8-3,HNS8-3”,HNS8-3 Columbia Nail Spotter Blade Holder 3in #12528,38.44,0,38.44,verified_exact_identity,no,,,,,0,,,yes,columbia::hns8-3,HNS8-3,Columbia Blade Holder for 3 in. Hinged Nail Spotter (COLM-HNS8-3),32.99,0,32.99,verified_exact_identity
